バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
1st&substream,22DUNK,TECHNO,SLAKE,0,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,0,1,0,0,0,---,NO PLAY,---,6,0,0,0,---,HARD CLEAR,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
1st&substream,deep in you,DANCE POP,dj nagureo,0,3,0,0,0,---,NO PLAY,---,3,0,0,0,---,HARD CLEAR,---,5,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
1st&substream,Dr.LOVE,DANCE POP,baby weapon feat.Asuka.M,0,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,3,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
1st&substream,GAMBOL,BIG BEAT,SLAKE,0,1,0,0,0,---,FULLCOMBO CLEAR,---,1,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-24 08:28
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,0,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,0,1,0,0,0,---,NO PLAY,---,3,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-24 08:28
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,0,2,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
1st&substream,R3,RAVE,tiger YAMATO,0,4,0,0,0,---,EASY CLEAR,---,5,0,0,0,---,FULLCOMBO CLEAR,---,6,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,0,2,0,0,0,---,FULLCOMBO CLEAR,---,3,0,0,0,---,FULLCOMBO CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
1st&substream,RUGGED ASH†,FUTURE JAZZ,SYMPHONIC DEFOGGERS,1,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,11,1928,897,134,11,HARD CLEAR,AAA,2018-11-24 11:24
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,8,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
2nd style,.59,CHILL OUT,dj TAKA,0,4,0,0,0,---,HARD CLEAR,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,0,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,CLEAR,---,6,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
2nd style,Electro Tuned(the SubS mix),BIG BEAT,TaQ,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,HARD CLEAR,---,6,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
2nd style,I Was The One,ITALO HOUSE,good-cool,0,2,0,0,0,---,HARD CLEAR,---,3,0,0,0,---,FULLCOMBO CLEAR,---,3,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,0,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
2nd style,SP-TRIP MACHINE(for beatmania II),JUNGLE,dj TAKA feat. DE-SIRE,0,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
3rd style,Don't Stop!,HAPPY HANDBAG,dj TAKA feat. JP Miles,0,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,FULLCOMBO CLEAR,---,4,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
3rd style,era (nostalmix),DRUM'N'BASS,TaQ,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
3rd style,Holic,HARD TECHNO,TaQ,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,HARD CLEAR,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
3rd style,LEADING CYBER,DIGI-ROCK,dj TAKA,0,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,7,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
3rd style,Presto,PIANO AMBIENT,Osamu Kubota,0,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
3rd style,R5,RAVE,tigerYAMATO with ultrabeatbox,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,11,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
3rd style,REINCARNATION,TRANCE,dj TAKA,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
3rd style,Schlagwerk,BIG BEAT,TaQ,0,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
3rd style,Skyscraper,EPIC HOUSE,good-cool,1,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,7,1204,576,52,1,FULLCOMBO CLEAR,AAA,2018-12-22 08:37
3rd style,Tangerine Stream,AMBIENT,dj TAKA,0,1,0,0,0,---,HARD CLEAR,---,2,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-24 08:28
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,0,7,0,0,0,---,EASY CLEAR,---,10,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-24 08:28
4th style,250bpm,GABBA,AKIRA YAMAOKA,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
4th style,ABSOLUTE,EPIC TRANCE,dj TAKA,0,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,10,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
4th style,ABSOLUTE†,EPIC TRANCE,dj TAKA,0,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,11,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
4th style,B4U,SPEED RAVE,NAOKI,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
4th style,Broken My Heart,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,1,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,9,1772,858,56,0,FULLCOMBO CLEAR,AAA,2018-12-13 19:10
4th style,Burnin' The Floor,EURO GROOVE,NAOKI,0,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,HARD CLEAR,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
4th style,CHECKING YOU OUT,HIP HOP,good-cool feat. JP Miles,0,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,CLEAR,---,2018-11-24 08:28
4th style,Clione,DUTCH TRANCE,kors k,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,HARD CLEAR,---,9,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
4th style,DXY!,TECHNO,TaQ,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
4th style,empathy,DRUM'N'BASS,TaQ,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
4th style,era (step mix),DRUM'N'BASS,TaQ,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
