バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,711,K-NA,石川県,979,SRT,石川県,1135,AIO2KA,石川県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1941,RIS.KS,石川県
1st&substream,RUGGED ASH,355,DUKE,石川県,389,DUKE,石川県,1083,MOMO.S,石川県
1st&substream,R3,587,K-NA,石川県,686,KEY&CO,石川県,887,AIO2KA,石川県
1st&substream,PARANOIA MAX～DIRTY MIX～,460,POINTY,石川県,714,KEY&CO,石川県,1079,AIO2KA,石川県
1st&substream,Macho Gang,360,DUKE,石川県,905,KEY&CO,石川県,1598,AIO2KA,石川県
1st&substream,KEEP ON MOVIN',183,DUKE,石川県,244,AIO2KA,石川県,0,,未設定
1st&substream,GRADIUSIC CYBER,699,KUMA,石川県,914,KEY&CO,石川県,1160,AIO2KA,石川県
1st&substream,GENOM SCREAMS,393,DUKE,石川県,731,KEY&CO,石川県,1052,6UNIX9,石川県
1st&substream,GAMBOL,265,5INKYO,石川県,270,AIO2KA,石川県,0,,未設定
1st&substream,Dr.LOVE,390,DUKE,石川県,483,DUKE,石川県,567,AIO2KA,石川県
1st&substream,deep in you,458,DUKE,石川県,470,KEY&CO,石川県,655,AIO2KA,石川県
1st&substream,5.1.1.,194,BONYO!,石川県,964,KEY&CO,石川県,1552,JUNA*,石川県
1st&substream,22DUNK,496,DUKE,石川県,598,KEY&CO,石川県,646,AIO2KA,石川県
2nd style,SP-TRIP MACHINE(for beatmania II),494,CUR*RY,石川県,593,KEY&CO,石川県,637,AIO2KA,石川県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),546,DUKE,石川県,860,6UNIX9,石川県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),828,DUKE,石川県,1008,KEY&CO,石川県,1185,AIO2KA,石川県
2nd style,I Was The One,517,9999,石川県,624,DUKE,石川県,689,6UNIX9,石川県
2nd style,Electro Tuned(the SubS mix),742,DUKE,石川県,884,KEY&CO,石川県,1047,FAL4,石川県
2nd style,Digital MinD(A/T Libra mix),693,DUKE,石川県,941,DUKE,石川県,1077,AIO2KA,石川県
2nd style,.59,694,DUKE,石川県,970,9999,石川県,1142,6UNIX9,石川県
3rd style,THE SAFARI,1051,REI.,石川県,1740,6UNIX9,石川県,0,,未設定
3rd style,Tangerine Stream,273,DUKE,石川県,392,AIO2KA,石川県,0,,未設定
3rd style,Skyscraper,686,K-NA,石川県,1022,KEY&CO,石川県,1221,AIO2KA,石川県
3rd style,Schlagwerk,772,3SOSY,石川県,1200,D*MRLS,石川県,1671,JUNA*,石川県
3rd style,REINCARNATION,755,K-NA,石川県,1024,AIO2KA,石川県,1275,6UNIX9,石川県
3rd style,R5,676,ATLETI,石川県,1112,AIO2KA,石川県,1749,BONYO!,石川県
3rd style,Presto,511,CUR*RY,石川県,948,AIO2KA,石川県,1008,6UNIX9,石川県
3rd style,LEADING CYBER,745,K-NA,石川県,1094,I,石川県,1247,FAL4,石川県
3rd style,Holic,717,D*MRLS,石川県,1058,KEY&CO,石川県,1685,T9BKGA,石川県
3rd style,era (nostalmix),801,D*MRLS,石川県,1041,AIO2KA,石川県,1502,HAREN,石川県
3rd style,Don't Stop!,736,DUKE,石川県,819,DUKE,石川県,902,6UNIX9,石川県
3rd style,CAN'T STOP FALLIN'IN LOVE,592,DUKE,石川県,1249,6UNIX9,石川県,0,,未設定
4th style,Voltage (feat. Hidemaru),838,DUKE,石川県,1073,NACHT,石川県,1315,6UNIX9,石川県
4th style,ULTRA HIGH-HEELS,707,ARUARU,石川県,764,KEY&CO,石川県,985,6UNIX9,石川県
4th style,SWEET LAB,524,DUKE,石川県,896,NEMO-T,石川県,1299,6UNIX9,石川県
4th style,starmine,733,4423,石川県,1327,AIO2KA,石川県,1578,6UNIX9,石川県
4th style,Mr.T.(take me higher),803,CUR*RY,石川県,939,KEY&CO,石川県,1748,6UNIX9,石川県
4th style,minimalian,515,CUR*RY,石川県,951,KEY&CO,石川県,1392,6UNIX9,石川県
4th style,LOVE WILL・・・,519,.,石川県,712,KEY&CO,石川県,1453,JUNA*,石川県
4th style,KAMIKAZE,953,D*MRLS,石川県,1347,RYOKI.,石川県,2276,6UNIX9,石川県
4th style,Jam&Marmalade,0,,未設定,794,KEY&CO,石川県,1001,AIO2KA,石川県
4th style,Hitch Hiker2,789,DUKE,石川県,1086,I,石川県,1304,AIO2KA,石川県
4th style,HIGHER,511,DUKE,石川県,903,DUKE,石川県,1274,6UNIX9,石川県
4th style,FLOWERS for ALBION,230,DUKE,石川県,428,AIO2KA,石川県,0,,未設定
4th style,era (step mix),1027,D*MRLS,石川県,1337,D*MRLS,石川県,1655,6UNIX9,石川県
4th style,empathy,599,XI,石川県,1258,U3GINU,石川県,1438,6UNIX9,石川県
4th style,DXY!,1083,D*MRLS,石川県,1639,MA24MA,石川県,2211,6UNIX9,石川県
4th style,Clione†,0,,未設定,0,,未設定,2077,AIO2KA,石川県
4th style,Clione,509,DUKE,石川県,846,RYOKI.,石川県,1598,6UNIX9,石川県
4th style,CHECKING YOU OUT,644,RIS.KS,石川県,808,NAGISA,石川県,1274,HAREN,石川県
4th style,Burnin' The Floor,567,CUR*RY,石川県,900,DUKE,石川県,1433,6UNIX9,石川県
4th style,Broken My Heart,684,POINTY,石川県,1370,BONYO!,石川県,1797,6UNIX9,石川県
4th style,B4U,732,4423,石川県,1385,AKISTE,石川県,1987,6UNIX9,石川県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2652,HAREN,石川県
4th style,ABSOLUTE,1177,DUKE,石川県,1667,ALICEK,石川県,2366,6UNIX9,石川県
4th style,250bpm,422,POINTY,石川県,862,KEY&CO,石川県,1388,6UNIX9,石川県
5th style,V,1201,BONYO!,石川県,2411,16-CHA,石川県,2900,HAREN,石川県
5th style,THE SHINING POLARIS,851,A,石川県,1092,MASAOH,石川県,1589,6UNIX9,石川県
5th style,THE CUBE,680,K-NA,石川県,1209,3SOSY,石川県,1320,AIO2KA,石川県
5th style,sync,1064,AIO2KA,石川県,1759,RYOKI.,石川県,2343,6UNIX9,石川県
5th style,still my words,892,DUKE,石川県,1232,6UNIX9,石川県,0,,未設定
5th style,STILL IN MY HEART,746,POINTY,石川県,1104,A,石川県,1915,6UNIX9,石川県
5th style,Spin the disc,769,SWL,石川県,1042,KEY&CO,石川県,1319,6UNIX9,石川県
5th style,RISLIM,817,K-NA,石川県,1224,6UNIX9,石川県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1772,T9BKGA,石川県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),864,DUKE,石川県,969,KEY&CO,石川県,1702,T9BKGA,石川県
5th style,Regulus,878,DUKE,石川県,1246,MA24MA,石川県,1692,6UNIX9,石川県
5th style,Real,1006,MA24MA,石川県,1435,KEY&CO,石川県,1782,6UNIX9,石川県
5th style,Radical Faith,966,POINTY,石川県,1456,T9BKGA,石川県,1271,BONYO!,石川県
5th style,QQQ,1156,D*MRLS,石川県,1666,KEY&CO,石川県,2126,JUNA*,石川県
5th style,outer wall,683,POINTY,石川県,1188,KEY&CO,石川県,1743,JUNA*,石川県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,未設定,929,KESSO,石川県,1115,6UNIX9,石川県
5th style,in my eyes,0,,未設定,1301,KEY&CO,石川県,1581,6UNIX9,石川県
5th style,Abyss,1006,POINTY,石川県,1597,AIO2KA,石川県,1868,6UNIX9,石川県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),743,MAROTH,石川県,1541,FAL4,石川県,0,,未設定
6th style,こっちを向いてよ,631,POINTY,石川県,1117,SD,石川県,1373,6UNIX9,石川県
6th style,Take It Easy,1342,9999,石川県,2089,JP.NET,石川県,2495,6UNIX9,石川県
6th style,Summer Vacation(CU mix),0,,未設定,1813,6UNIX9,石川県,0,,未設定
6th style,SOMETHING WONDERFUL,870,DUKE,石川県,1165,KEY&CO,石川県,1972,6UNIX9,石川県
6th style,route 80s,658,LOOP,石川県,1049,KEY&CO,石川県,1482,RIS.KS,石川県
6th style,rottel-da-sun,634,4423,石川県,1353,RIS.KS,石川県,1819,T9BKGA,石川県
6th style,NEMESIS,922,DUKE,石川県,1323,YASAKA,石川県,1876,6UNIX9,石川県
6th style,Linus,919,DUKE,石川県,1302,RYOKI.,石川県,2150,6UNIX9,石川県
6th style,G2,1212,D*MRLS,石川県,1547,893,石川県,2299,6UNIX9,石川県
6th style,Frozen Ray (original mix),1204,D*MRLS,石川県,1629,893,石川県,1789,6UNIX9,石川県
6th style,Free Style,611,POINTY,石川県,922,KEY&CO,石川県,1292,6UNIX9,石川県
6th style,fly through the night,845,DUKE,石川県,1138,KEY&CO,石川県,1700,6UNIX9,石川県
6th style,DIVE ～INTO YOUR HEART～,961,POINTY,石川県,1673,RYOKI.,石川県,2080,6UNIX9,石川県
6th style,Colors (radio edit),1164,4423,石川県,1952,6UNIX9,石川県,2349,6UNIX9,石川県
6th style,Buffalo,820,POINTY,石川県,1240,KEY&CO,石川県,1803,6UNIX9,石川県
6th style,Blueberry Stream,606,POINTY,石川県,1268,RYOKI.,石川県,1613,6UNIX9,石川県
6th style,BALLAD FOR YOU～想いの雨～,563,9999,石川県,730,KEY&CO,石川県,1070,MOMO.S,石川県
6th style,"19,November",1042,DUKE,石川県,1266,KEY&CO,石川県,1800,6UNIX9,石川県
7th style,革命,607,QUARTZ,石川県,1882,EBI.,石川県,2296,6UNIX9,石川県
7th style,ZERO-ONE,660,POINTY,石川県,1458,SASAMI,石川県,2206,6UNIX9,石川県
7th style,traces,1303,D*MRLS,石川県,1594,D*MRLS,石川県,2130,6UNIX9,石川県
7th style,Tomorrow Perfume,894,4423,石川県,1789,KAREN,石川県,2108,6UNIX9,石川県
7th style,stoic,1523,TUBO,石川県,2178,ALICEK,石川県,2485,FAL4,石川県
7th style,Spica,548,KOBATO,石川県,1178,ATLETI,石川県,2124,6UNIX9,石川県
7th style,MAX 300,1121,RIS.KS,石川県,1878,6UNIX9,石川県,0,,未設定
7th style,Love Me Do,962,CHABO,石川県,1581,ANAGO,石川県,2100,6UNIX9,石川県
7th style,Let the Snow Paint Me,746,K-NA,石川県,991,KEY&CO,石川県,1236,6UNIX9,石川県
7th style,Last Message,931,DUKE,石川県,1180,893,石川県,1605,6UNIX9,石川県
7th style,Happy Wedding,926,POINTY,石川県,1660,HAREN,石川県,1823,6UNIX9,石川県
7th style,Glorious Days,467,DUKE,石川県,800,HAREN,石川県,904,MOMO.S,石川県
7th style,foreplay,637,DUKE,石川県,974,KEY&CO,石川県,1322,6UNIX9,石川県
7th style,DESTINY,590,MAROTH,石川県,1241,RYOKI.,石川県,1831,6UNIX9,石川県
7th style,D2R,557,BB,石川県,1167,KEY&CO,石川県,1621,6UNIX9,石川県
7th style,Cheer Train,737,POINTY,石川県,1083,KEY&CO,石川県,1694,6UNIX9,石川県
7th style,Burning Heat! (Full Option Mix),669,DUKE,石川県,849,KEY&CO,石川県,1473,6UNIX9,石川県
7th style,Bad Routine,854,POINTY,石川県,1375,NANOU.,石川県,1883,AIO2KA,石川県
7th style,AVE DE RAPINA,1266,DUKE,石川県,1438,KEY&CO,石川県,1795,6UNIX9,石川県
7th style,A,1102,DUKE,石川県,2019,BONYO!,石川県,2415,T9BKGA,石川県
8th style,蒼い衝動,869,CUR*RY,石川県,1226,KEY&CO,石川県,1592,6UNIX9,石川県
8th style,桜,900,DUKE,石川県,1458,AIO2KA,石川県,2043,6UNIX9,石川県
8th style,xenon,800,YUKKI,石川県,1522,LILY,石川県,2693,6UNIX9,石川県
8th style,World Wide Love,690,CUR*RY,石川県,973,KEY&CO,石川県,1112,JUNA*,石川県
8th style,WAR GAME,933,DUKE,石川県,1444,EDEN,石川県,2117,JUNA*,石川県
8th style,thunder,1103,DUKE,石川県,1426,RYOKI.,石川県,1871,6UNIX9,石川県
8th style,symbolic,1285,DUKE,石川県,1660,AKISTE,石川県,2237,6UNIX9,石川県
8th style,STAR DREAM,590,PARUKU,石川県,1203,KEY&CO,石川県,1429,6UNIX9,石川県
8th style,rainbow flyer,727,CUR*RY,石川県,1516,12YUJ!,石川県,2123,6UNIX9,石川県
8th style,PLEASE DON'T GO,796,CUR*RY,石川県,1235,ARCIE.,石川県,2371,6UNIX9,石川県
8th style,MUSIC TO YOUR HEAD,719,DUKE,石川県,1233,KEY&CO,石川県,1665,6UNIX9,石川県
8th style,murmur twins,990,178,石川県,1474,B2,石川県,2356,6UNIX9,石川県
8th style,Monkey Dance,795,DUKE,石川県,1338,AIO2KA,石川県,1980,6UNIX9,石川県
8th style,memories,784,4423,石川県,1893,16-CHA,石川県,2203,JUNA*,石川県
8th style,Luv 2 Feel Your Body,831,ALICEK,石川県,957,DUKE,石川県,1625,6UNIX9,石川県
8th style,LOVE IS ORANGE,773,DUKE,石川県,959,DUKE,石川県,1780,6UNIX9,石川県
8th style,LAB,969,D*MRLS,石川県,1753,LILY,石川県,2098,6UNIX9,石川県
8th style,HYPER BOUNDARY GATE,1176,DUKE,石川県,1898,GTYB,石川県,2200,6UNIX9,石川県
8th style,Halfway of promise,918,DUKE,石川県,1355,A,石川県,1795,6UNIX9,石川県
8th style,Giudecca,856,DUKE,石川県,1735,12YUJ!,石川県,2620,6UNIX9,石川県
8th style,dual control,580,PARUKU,石川県,1159,KEY&CO,石川県,1852,6UNIX9,石川県
8th style,Colors -Y&Co. Eurobeat Remix-,921,PARUKU,石川県,1846,12YUJ!,石川県,2172,6UNIX9,石川県
8th style,CELEBRATE NITE,825,178,石川県,1021,KEY&CO,石川県,1412,6UNIX9,石川県
8th style,Blame,1083,DUKE,石川県,1434,12YUJ!,石川県,1899,6UNIX9,石川県
8th style,bit mania,884,DUKE,石川県,1208,I,石川県,1848,6UNIX9,石川県
8th style,Attitude,794,PARUKU,石川県,1294,EDEN,石川県,1732,6UNIX9,石川県
8th style,ALL RIGHT,844,DUKE,石川県,1181,D*MRLS,石川県,1586,AIO2KA,石川県
8th style,airflow,548,DUKE,石川県,697,KEY&CO,石川県,1407,6UNIX9,石川県
8th style,abstract,1165,DUKE,石川県,1491,AKISTE,石川県,1882,6UNIX9,石川県
9th style,真夏の花・真夏の夢,773,K-NA,石川県,1014,KEY&CO,石川県,1445,AIO2KA,石川県
9th style,ライオン好き,628,DUKE,石川県,1179,AIO2KA,石川県,1502,JUNA*,石川県
9th style,SWEETEST SAVAGE,613,CUR*RY,石川県,1244,VINCE,石川県,1767,T9BKGA,石川県
9th style,Sweet Sweet Magic,977,DUKE,石川県,1467,EDEN,石川県,2027,6UNIX9,石川県
9th style,STAR FIELD,676,DUKE,石川県,1403,KEY&CO,石川県,1871,6UNIX9,石川県
9th style,SNOW,915,D*MRLS,石川県,1256,B2,石川県,2015,6UNIX9,石川県
9th style,Silvia Drive,768,K-NA,石川県,1379,KEY&CO,石川県,2025,6UNIX9,石川県
9th style,rottel-the-Mercury,931,A,石川県,1872,AIO2KA,石川県,2242,JUNA*,石川県
9th style,RISLIM -Remix-,727,K-NA,石川県,918,KEY&CO,石川県,1844,HAREN,石川県
9th style,Really Love,355,MAROTH,石川県,937,ZXCV,石川県,1726,6UNIX9,石川県
9th style,Quickening,713,KUMA,石川県,1469,VINCE,石川県,2068,6UNIX9,石川県
9th style,quasar,1073,D*MRLS,石川県,1577,ARCIE.,石川県,2276,6UNIX9,石川県
9th style,one or eight,1164,DUKE,石川県,1794,TAK875,石川県,2189,AIO2KA,石川県
9th style,moon_child,814,POINTY,石川県,1876,ALICEK,石川県,2472,6UNIX9,石川県
9th style,MARIA (I believe... ),0,,未設定,1339,KEY&CO,石川県,1944,6UNIX9,石川県
9th style,Make A Difference,605,POINTY,石川県,1383,KEY&CO,石川県,2202,6UNIX9,石川県
9th style,lower world,1070,CHABO,石川県,1571,RYOKI.,石川県,2229,6UNIX9,石川県
9th style,LOVE SHINE,741,POINTY,石川県,1706,48*INU,石川県,2078,6UNIX9,石川県
9th style,lights,661,DUKE,石川県,1200,KEY&CO,石川県,1760,6UNIX9,石川県
9th style,Let The Snow Paint Me -Y&Co. Remix-,661,POINTY,石川県,1130,KEY&CO,石川県,1788,AIO2KA,石川県
9th style,Karma,1134,ATLETI,石川県,1477,12YUJ!,石川県,1803,6UNIX9,石川県
9th style,I Was The One (80's EUROBEAT STYLE),765,DUKE,石川県,1341,AIO2KA,石川県,1445,6UNIX9,石川県
9th style,HYPER EUROBEAT (2DX style),785,POINTY,石川県,1347,KEY&CO,石川県,1944,6UNIX9,石川県
9th style,Golden Horn,660,CUR*RY,石川県,1053,KEY&CO,石川県,1486,6UNIX9,石川県
9th style,e-motion 2003 -romantic extra-,964,KUMA,石川県,1330,KEY&CO,石川県,1971,6UNIX9,石川県
9th style,Distress,1007,D*MRLS,石川県,1831,6UNIX9,石川県,0,,未設定
9th style,Cradle,0,,未設定,1304,KEY&CO,石川県,1558,6UNIX9,石川県
9th style,BRIGHTNESS DARKNESS,701,DUKE,石川県,1265,KEY&CO,石川県,1749,6UNIX9,石川県
9th style,bag,762,POINTY,石川県,1051,KEY&CO,石川県,1886,JUNA*,石川県
9th style,BAD BOY BASS!! (dj Remo-con MIX),785,POINTY,石川県,1310,12YUJ!,石川県,1794,6UNIX9,石川県
9th style,ACT,998,DUKE,石川県,1439,KEY&CO,石川県,1827,6UNIX9,石川県
9th style,Abyss -The Heavens Remix-,1403,9999,石川県,1752,16-CHA,石川県,2350,6UNIX9,石川県
10th style,雪月花,1017,4423,石川県,1909,6UNIX9,石川県,2456,6UNIX9,石川県
10th style,システムロマンス,869,DUKE,石川県,1580,.,石川県,2033,6UNIX9,石川県
10th style,SPACE FIGHT,617,DUKE,石川県,1350,TUBO,石川県,2205,6UNIX9,石川県
10th style,SHOOTING STAR,951,POINTY,石川県,1317,CHAN.M,石川県,2244,6UNIX9,石川県
10th style,Rise'n Beauty,854,POINTY,石川県,1378,R-PACA,石川県,2148,6UNIX9,石川県
10th style,rainbow rainbow,1409,RYOKI.,石川県,2026,ALICEK,石川県,2673,6UNIX9,石川県
10th style,pandora,703,POINTY,石川県,1432,KEY&CO,石川県,1841,6UNIX9,石川県
10th style,One More Lovely,753,KUMA,石川県,1615,T9BKGA,石川県,2767,FAL4,石川県
10th style,No.13,1379,KEY&CO,石川県,2625,JUNA*,石川県,3083,6UNIX9,石川県
10th style,Narcissus At Oasis,315,JACKSO,石川県,1466,ALICEK,石川県,1632,6UNIX9,石川県
10th style,Lucy,569,MAROTH,石川県,1540,KEY&CO,石川県,2296,6UNIX9,石川県
10th style,LOW,634,K-NA,石川県,1293,KEY&CO,石川県,1705,AIO2KA,石川県
10th style,Love Is Eternity,1135,DUKE,石川県,1683,ARCIE.,石川県,2354,6UNIX9,石川県
10th style,Innocent Walls,1427,D*MRLS,石川県,2368,1048?,石川県,2696,T9BKGA,石川県
10th style,HIGH,887,CUR*RY,石川県,1741,RYOKI.,石川県,2139,ZXCV,石川県
10th style,GRADIUS -FULL SPEED-,708,T9BKGA,石川県,956,KEY&CO,石川県,2054,T9BKGA,石川県
10th style,GHOST REVIVAL,619,4423,石川県,1568,KEY&CO,石川県,2537,6UNIX9,石川県
10th style,Freezing atmosphere,759,DUKE,石川県,968,KEY&CO,石川県,1488,6UNIX9,石川県
10th style,FEEL IT,834,D*MRLS,石川県,1504,VINCE,石川県,1904,0-NICA,石川県
10th style,Feedback,748,POINTY,石川県,1361,KEY&CO,石川県,1929,6UNIX9,石川県
10th style,EXE,827,DUKE,石川県,1450,MOKADA,石川県,2193,JUNA*,石川県
10th style,DoLL,850,ATLETI,石川県,1135,RYOKI.,石川県,1610,6UNIX9,石川県
10th style,desolation,473,9999,石川県,622,DUKE,石川県,760,6UNIX9,石川県
10th style,Debtty Daddy,0,,未設定,1784,U-KO3,石川県,2667,6UNIX9,石川県
10th style,Daisuke,1116,RANGEO,石川県,1549,12YUJ!,石川県,2364,6UNIX9,石川県
10th style,CARRY ON NIGHT (English version),647,INAFE,石川県,1212,RYOKI.,石川県,2042,6UNIX9,石川県
10th style,Boundary,792,DUKE,石川県,1647,SRT,石川県,2034,6UNIX9,石川県
10th style,Back Into The Light,1085,DUKE,石川県,1425,KEY&CO,石川県,2153,6UNIX9,石川県
10th style,BABY LOVE,1102,DUKE,石川県,1486,KEY&CO,石川県,2104,JUNA*,石川県
10th style,ASTRAL VOYAGE,847,AOI,石川県,1243,9999,石川県,1905,6UNIX9,石川県
10th style,ALIEN TEMPLE,694,LOOP,石川県,1428,KEY&CO,石川県,2003,6UNIX9,石川県
10th style,1st Samurai,932,POINTY,石川県,1636,16-CHA,石川県,2592,HAREN,石川県
IIDX RED,ＵＬＴｉＭΛＴＥ,903,DUKE,石川県,1317,KEY&CO,石川県,1995,6UNIX9,石川県
IIDX RED,太陽～T・A・I・Y・O～,794,DUKE,石川県,1217,893,石川県,1725,T9BKGA,石川県
IIDX RED,大桟橋,468,DUKE,石川県,1019,KEY&CO,石川県,1847,6UNIX9,石川県
IIDX RED,ピアノ協奏曲第１番”蠍火”,765,KEY&CO,石川県,2073,RIS.KS,石川県,2532,T9BKGA,石川県
IIDX RED,Wonder Bullfighter,751,POINTY,石川県,1199,KEY&CO,石川県,1996,6UNIX9,石川県
IIDX RED,The Hope of Tomorrow,802,POINTY,石川県,1607,12YUJ!,石川県,1930,6UNIX9,石川県
IIDX RED,spiral galaxy†,0,,未設定,0,,未設定,3632,FAL4,石川県
IIDX RED,spiral galaxy,978,CUR*RY,石川県,1899,I,石川県,2536,FAL4,石川県
IIDX RED,Sphere,1017,NAGISA,石川県,1555,REA,石川県,2171,6UNIX9,石川県
IIDX RED,SPEEDY CAT,0,,未設定,1525,KEY&CO,石川県,2021,6UNIX9,石川県
IIDX RED,Secret of Love,849,POINTY,石川県,1167,KEY&CO,石川県,2006,6UNIX9,石川県
IIDX RED,RESONATE 1794,872,CUR*RY,石川県,1319,EBI.,石川県,1857,6UNIX9,石川県
IIDX RED,RED ZONE†,0,,未設定,0,,未設定,2961,FAL4,石川県
IIDX RED,RED ZONE,835,POINTY,石川県,1703,S.CROW,石川県,2314,6UNIX9,石川県
IIDX RED,Raspberry Heart(English version),980,CUR*RY,石川県,1389,AIO2KA,石川県,1835,6UNIX9,石川県
IIDX RED,NEBULA GRASPER,1292,CUR*RY,石川県,1703,ARCIE.,石川県,2428,6UNIX9,石川県
IIDX RED,KEY,914,KUMA,石川県,1719,RYOKI.,石川県,2818,6UNIX9,石川県
IIDX RED,HORIZON,745,INAFE,石川県,1412,KEY&CO,石川県,1971,6UNIX9,石川県
IIDX RED,gigadelic,1360,893,石川県,2045,FAL4,石川県,2475,6UNIX9,石川県
IIDX RED,GENOCIDE,1016,RYOKI.,石川県,1803,ALICEK,石川県,2358,6UNIX9,石川県
IIDX RED,Fly Away To India,656,DUKE,石川県,1017,KEY&CO,石川県,1395,AIO2KA,石川県
IIDX RED,FAKE TIME,908,KEY&CO,石川県,1683,ALICEK,石川県,2328,FAL4,石川県
IIDX RED,earth scape,426,DUKE,石川県,935,KEY&CO,石川県,1264,6UNIX9,石川県
IIDX RED,Don't be afraid myself,840,POINTY,石川県,1625,I,石川県,2243,6UNIX9,石川県
IIDX RED,D.A.N.C.E.!,539,CUR*RY,石川県,731,KEY&CO,石川県,1599,6UNIX9,石川県
IIDX RED,Close my Eyes for Me,0,,未設定,1335,12YUJ!,石川県,1794,6UNIX9,石川県
IIDX RED,Click Again,320,POINTY,石川県,1334,B9U,石川県,2098,6UNIX9,石川県
IIDX RED,BREATH,906,AIO2KA,石川県,1187,D*MRLS,石川県,1650,KOTO02,石川県
IIDX RED,BLOCKS,776,DUKE,石川県,1170,AKISTE,石川県,1959,6UNIX9,石川県
IIDX RED,Be quiet,762,POINTY,石川県,1522,893,石川県,2167,6UNIX9,石川県
IIDX RED,awakening,858,POINTY,石川県,1295,ARCIE.,石川県,1694,6UNIX9,石川県
IIDX RED,ANDROMEDA,828,YUYU,石川県,1762,12YUJ!,石川県,2844,6UNIX9,石川県
IIDX RED,AGEHA,794,BB,石川県,1594,893,石川県,1873,6UNIX9,石川県
IIDX RED,AA,1173,D*MRLS,石川県,2718,6UNIX9,石川県,3516,FAL4,石川県
HAPPY SKY,月光,714,POINTY,石川県,1592,BIO!!!,石川県,2428,6UNIX9,石川県
HAPPY SKY,合体せよ！ストロングイェーガー！！ (Ryu☆ remix),862,POINTY,石川県,1332,TETORA,石川県,1911,6UNIX9,石川県
HAPPY SKY,冥,997,RIBA,石川県,2135,6UNIX9,石川県,3596,T9BKGA,石川県
HAPPY SKY,ラクエン,561,POINTY,石川県,875,NANOU.,石川県,1924,HAREN,石川県
HAPPY SKY,ヒマワリ,552,DUKE,石川県,1656,ARCIE.,石川県,2063,6UNIX9,石川県
HAPPY SKY,オレはビートマニア！お前は何マニア？,656,178,石川県,1324,FIND-L,石川県,1673,6UNIX9,石川県
HAPPY SKY,Xepher,1016,K-NA,石川県,2011,16-CHA,石川県,2942,6UNIX9,石川県
HAPPY SKY,We are Disっ娘よっつ打ち命,637,DUKE,石川県,899,RYOKI.,石川県,1652,6UNIX9,石川県
HAPPY SKY,Votum stellarum,501,4423,石川県,1440,RYOKI.,石川県,1970,6UNIX9,石川県
HAPPY SKY,vault of heaven,719,K-NA,石川県,1237,KEY&CO,石川県,1966,JUNA*,石川県
HAPPY SKY,Under the Sky,751,POINTY,石川県,1340,KT-UMA,石川県,1714,6UNIX9,石川県
HAPPY SKY,Twelfth Style,1100,DUKE,石川県,1416,12YUJ!,石川県,1977,JUNA*,石川県
HAPPY SKY,Tizona d'El Cid,905,DUKE,石川県,1781,BONYO!,石川県,2309,6UNIX9,石川県
HAPPY SKY,SigSig,1079,AIO2KA,石川県,1498,YASAKA,石川県,2583,6UNIX9,石川県
HAPPY SKY,Scripted Connection⇒ N mix,898,KOKOA0,石川県,1447,VINCE,石川県,2091,6UNIX9,石川県
HAPPY SKY,Scripted Connection⇒ H mix,1504,RYOKI.,石川県,1853,EBI.,石川県,2457,T9BKGA,石川県
HAPPY SKY,Scripted Connection⇒ A mix,1389,D*MRLS,石川県,2052,ALICEK,石川県,2979,FAL4,石川県
HAPPY SKY,SCREAM SQUAD,1130,TAK875,石川県,1532,ALICEK,石川県,1937,JUNA*,石川県
HAPPY SKY,rage against usual,1139,ATLETI,石川県,1872,ALICEK,石川県,2815,T9BKGA,石川県
HAPPY SKY,POODLE,775,POINTY,石川県,1783,6956,石川県,2264,JUNA*,石川県
HAPPY SKY,Pollinosis,711,K-NA,石川県,1042,KEY&CO,石川県,2432,6UNIX9,石川県
HAPPY SKY,PLASMA,904,K-NA,石川県,1523,B2,石川県,2262,FAL4,石川県
HAPPY SKY,Pink Rose,566,DUKE,石川県,910,U3GINU,石川県,1409,MOMO.S,石川県
HAPPY SKY,MOON RACE,639,POINTY,石川県,1022,KEY&CO,石川県,1869,6UNIX9,石川県
HAPPY SKY,Love Magic,830,POINTY,石川県,1460,D*MRLS,石川県,1931,6UNIX9,石川県
HAPPY SKY,Little Little Princess†,0,,未設定,0,,未設定,3655,FAL4,石川県
HAPPY SKY,Little Little Princess,767,MAROTH,石川県,2092,6956,石川県,2751,6UNIX9,石川県
HAPPY SKY,LESSON 5,1171,DUKE,石川県,1694,RYOKI.,石川県,2471,6UNIX9,石川県
HAPPY SKY,INAZUMA,859,POINTY,石川県,1576,12YUJ!,石川県,2680,6UNIX9,石川県
HAPPY SKY,in motion,801,K-NA,石川県,980,KEY&CO,石川県,1309,6UNIX9,石川県
