バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,664,YSS,秋田県,898,A*RISK,秋田県,1136,EOTOKO,秋田県
1st&substream,RUGGED ASH,363,-GEAR-,秋田県,396,CURRY.,秋田県,1043,EOTOKO,秋田県
1st&substream,R3,605,NAGIGI,秋田県,704,SYAMU0,秋田県,865,EOTOKO,秋田県
1st&substream,PARANOIA MAX～DIRTY MIX～,519,Y.I.,秋田県,710,A*RISK,秋田県,1062,AJI.,秋田県
1st&substream,Macho Gang,339,ORIT-R,秋田県,1000,KANI,秋田県,1530,EOTOKO,秋田県
1st&substream,KEEP ON MOVIN',186,2SHIMO,秋田県,243,AJI.,秋田県,,,
1st&substream,GRADIUSIC CYBER,709,IIDX23,秋田県,827,AB-FRY,秋田県,1153,EOTOKO,秋田県
1st&substream,GENOM SCREAMS,371,KKR,秋田県,752,D.S,秋田県,1041,EOTOKO,秋田県
1st&substream,GAMBOL,269,KOB.CL,秋田県,268,MAGUR0,秋田県,,,
1st&substream,Dr.LOVE,381,KANI,秋田県,510,2SHIMO,秋田県,571,AJI.,秋田県
1st&substream,deep in you,378,WELCH,秋田県,393,ANA1,秋田県,643,EOTOKO,秋田県
1st&substream,BRILLIANT 2U,480,ALEPH,秋田県,599,KANI,秋田県,695,AJI.,秋田県
1st&substream,5.1.1.,180,WITH,秋田県,852,NZ*MYU,秋田県,1525,AOTA,秋田県
1st&substream,22DUNK,499,CURRY.,秋田県,591,KANI,秋田県,635,AJI.,秋田県
2nd style,SP-TRIP MACHINE(for beatmania II),462,RETRY,秋田県,590,NAGIGI,秋田県,635,AJI.,秋田県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),552,KANI,秋田県,842,AJI.,秋田県,,,
2nd style,Indigo Vision(full flavour hide around mix),823,CURRY.,秋田県,1053,SYAMU0,秋田県,1159,-GEAR-,秋田県
2nd style,I Was The One,517,BASTET,秋田県,554,3KELA.,秋田県,683,AJI.,秋田県
2nd style,Electro Tuned(the SubS mix),715,SHUN-X,秋田県,875,NAGIGI,秋田県,1040,2SHIMO,秋田県
2nd style,Digital MinD(A/T Libra mix),686,CURRY.,秋田県,827,OGRSYN,秋田県,1087,EOTOKO,秋田県
2nd style,Dancin' Into The Night,392,GOJA,秋田県,457,AJI.,秋田県,,,
2nd style,.59,681,NAGIGI,秋田県,871,AB-FRY,秋田県,1128,EOTOKO,秋田県
3rd style,THE SAFARI,1068,KANI,秋田県,1686,EOTOKO,秋田県,,,
3rd style,Tangerine Stream,273,GOJA,秋田県,390,AJI.,秋田県,,,
3rd style,Skyscraper,637,IIDX23,秋田県,1156,SYAMU0,秋田県,1196,EOTOKO,秋田県
3rd style,Schlagwerk,482,PENKO*,秋田県,1214,NAGIGI,秋田県,1626,EOTOKO,秋田県
3rd style,REINCARNATION,800,BASTET,秋田県,978,NAGIGI,秋田県,1236,SGITCH,秋田県
3rd style,R5,694,RH,秋田県,1122,NAGIGI,秋田県,1719,L-HAKU,秋田県
3rd style,Presto,483,AB-FRY,秋田県,912,Y.I.,秋田県,980,EOTOKO,秋田県
3rd style,LEADING CYBER,417,PENKO*,秋田県,1040,SHUN-X,秋田県,1204,EOTOKO,秋田県
3rd style,Holic,726,NAGIGI,秋田県,1116,NAGIGI,秋田県,1633,EOTOKO,秋田県
3rd style,era (nostalmix),732,YUTO,秋田県,1020,NJOMO,秋田県,1473,EOTOKO,秋田県
3rd style,Don't Stop!,655,WELCH,秋田県,750,ZOO,秋田県,890,AJI.,秋田県
3rd style,CAN'T STOP FALLIN'IN LOVE,555,A3,秋田県,1208,EOTOKO,秋田県,,,
4th style,Voltage (feat. Hidemaru),,,,980,KM-4DX,秋田県,1254,EOTOKO,秋田県
4th style,ULTRA HIGH-HEELS,710,TORU.K,秋田県,787,ZOO,秋田県,968,RALLY.,秋田県
4th style,starmine,827,DOP26,秋田県,1315,CURRY.,秋田県,1517,EOTOKO,秋田県
4th style,Nasty!,516,ALEPH,秋田県,822,SHUN-X,秋田県,1496,EOTOKO,秋田県
4th style,Mr.T.(take me higher),729,KKR,秋田県,918,D.S,秋田県,1698,EOTOKO,秋田県
4th style,minimalian,347,WELCH,秋田県,1007,KANI,秋田県,1339,EOTOKO,秋田県
4th style,LOVE WILL・・・,474,WHITE,秋田県,657,YUTO,秋田県,1431,2SHIMO,秋田県
4th style,KAMIKAZE,925,LILY.P,秋田県,1318,LARK9,秋田県,2221,EOTOKO,秋田県
4th style,Jam&Marmalade,575,G.B,秋田県,744,MBURNS,秋田県,972,AJI.,秋田県
4th style,Hitch Hiker2,385,TOMO,秋田県,1002,MBURNS,秋田県,1271,EOTOKO,秋田県
4th style,HIGHER,426,WELCH,秋田県,851,ISSY.L,秋田県,1226,EOTOKO,秋田県
4th style,FLOWERS for ALBION,222,WHITE,秋田県,420,EOTOKO,秋田県,,,
4th style,era (step mix),895,IIDX23,秋田県,1180,OGRSYN,秋田県,1618,EOTOKO,秋田県
4th style,empathy,619,HCR,秋田県,1235,CAMINO,秋田県,1408,EOTOKO,秋田県
4th style,DXY!,843,MIYA,秋田県,1608,DEF,秋田県,2153,EOTOKO,秋田県
4th style,Clione†,,,,,,,2039,RALLY.,秋田県
4th style,Clione,507,NAGIGI,秋田県,863,AB-FRY,秋田県,1574,SGITCH,秋田県
4th style,CHECKING YOU OUT,395,RETRY,秋田県,692,RIXIA,秋田県,1247,EOTOKO,秋田県
4th style,Burnin' The Floor,487,WELCH,秋田県,904,SYAMU0,秋田県,1398,RALLY.,秋田県
4th style,Broken My Heart,897,CURRY.,秋田県,1389,DEF,秋田県,1750,EOTOKO,秋田県
4th style,B4U,982,KANI,秋田県,1381,PACHI*,秋田県,1915,CRUISE,秋田県
4th style,ABSOLUTE,1148,RETRY,秋田県,1660,CURRY.,秋田県,2281,EOTOKO,秋田県
4th style,250bpm,639,CAMINO,秋田県,936,NAGIGI,秋田県,1333,EOTOKO,秋田県
5th style,V,1110,A3,秋田県,2324,CODAI,秋田県,2820,RALLY.,秋田県
5th style,THE SHINING POLARIS,758,IIDX23,秋田県,1177,B.ROSE,秋田県,1528,SGITCH,秋田県
5th style,THE CUBE,682,KANI,秋田県,1070,RETRY,秋田県,1343,SGITCH,秋田県
5th style,sync,1048,DEF,秋田県,1622,SATC,秋田県,2282,RALLY.,秋田県
5th style,still my words,715,CODBO3,秋田県,1198,AJI.,秋田県,,,
5th style,STILL IN MY HEART,932,LARK9,秋田県,1227,D.S,秋田県,1858,EOTOKO,秋田県
5th style,Spin the disc,669,RH,秋田県,1157,DOP26,秋田県,1265,AJI.,秋田県
5th style,RISLIM,769,A3,秋田県,1177,EOTOKO,秋田県,,,
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,,,,,,,1702,GAMAS,秋田県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),762,KKR,秋田県,907,SATC,秋田県,1673,EOTOKO,秋田県
5th style,Regulus,844,AB-FRY,秋田県,1415,K.AI,秋田県,1618,EOTOKO,秋田県
5th style,Real,541,PENKO*,秋田県,1529,KANI,秋田県,1739,EOTOKO,秋田県
5th style,Radical Faith,1009,ALEPH,秋田県,1465,EOTOKO,秋田県,1247,A-BE*Q,秋田県
5th style,QQQ,1022,IIDX23,秋田県,1638,*HATO*,秋田県,2034,AJI.,秋田県
5th style,outer wall,754,RH,秋田県,1093,RETRY,秋田県,1684,EOTOKO,秋田県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,683,WHITE,秋田県,934,GAME,秋田県,1091,2SHIMO,秋田県
5th style,Kiss me all night long,623,CEL-1P,秋田県,1022,ISSY.L,秋田県,1420,EOTOKO,秋田県
5th style,in my eyes,872,KKR,秋田県,1344,NAGIGI,秋田県,1544,EOTOKO,秋田県
5th style,Abyss,1219,NAGIGI,秋田県,1559,Y.I.,秋田県,1837,EOTOKO,秋田県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),1081,2SHIMO,秋田県,1512,EOTOKO,秋田県,,,
6th style,こっちを向いてよ,680,WHITE,秋田県,1194,NAGIGI,秋田県,1314,EOTOKO,秋田県
6th style,Take It Easy,1413,KANI,秋田県,2289,KOB.CL,秋田県,2425,EOTOKO,秋田県
6th style,Summer Vacation(CU mix),1176,HAYA,秋田県,1762,RALLY.,秋田県,,,
6th style,SOMETHING WONDERFUL,908,K.AI,秋田県,1315,KOB.CL,秋田県,1923,EOTOKO,秋田県
6th style,route 80s,832,KANI,秋田県,1007,KM-4DX,秋田県,1429,EOTOKO,秋田県
6th style,rottel-da-sun,693,RH,秋田県,1160,*HATO*,秋田県,1783,SGITCH,秋田県
6th style,NEMESIS,779,KKR,秋田県,1452,KANI,秋田県,1771,EOTOKO,秋田県
6th style,Linus,839,ALEPH,秋田県,1364,GAME,秋田県,2099,EOTOKO,秋田県
6th style,G2,1336,CURRY.,秋田県,1592,D.S,秋田県,2230,EOTOKO,秋田県
6th style,Frozen Ray (original mix),1186,S-I-N,秋田県,1556,GUEEEE,秋田県,1727,SGITCH,秋田県
6th style,Free Style,824,GOJA,秋田県,930,GAMAS,秋田県,1230,GAMAS,秋田県
6th style,fly through the night,856,NAGIGI,秋田県,1075,MBURNS,秋田県,1645,EOTOKO,秋田県
6th style,DIVE ～INTO YOUR HEART～,685,MIYA,秋田県,1720,D.S,秋田県,2002,EOTOKO,秋田県
6th style,Colors (radio edit),1284,S-I-N,秋田県,1843,Y.I.,秋田県,2269,GAMAS,秋田県
6th style,Buffalo,874,RH,秋田県,1181,KKR,秋田県,1740,EOTOKO,秋田県
6th style,Blueberry Stream,679,3KELA.,秋田県,1181,RETRY,秋田県,1549,EOTOKO,秋田県
6th style,BALLAD FOR YOU～想いの雨～,495,WHITE,秋田県,751,CURRY.,秋田県,1056,EOTOKO,秋田県
6th style,"19,November",1088,-GEAR-,秋田県,1413,-GEAR-,秋田県,1727,EOTOKO,秋田県
7th style,革命,713,NAGIGI,秋田県,1806,CUTE#,秋田県,2228,L-HAKU,秋田県
7th style,ZERO-ONE,922,KKR,秋田県,1589,PACHI*,秋田県,2151,RALLY.,秋田県
7th style,traces,818,CEL-1P,秋田県,1784,CURRY.,秋田県,2055,EOTOKO,秋田県
7th style,Tomorrow Perfume,940,G.B,秋田県,1707,PACHI*,秋田県,2041,EOTOKO,秋田県
7th style,stoic,1388,RH,秋田県,2243,GAMEO,秋田県,2415,EOTOKO,秋田県
7th style,Spica,470,CEL-1P,秋田県,1247,F-YUKI,秋田県,2087,EOTOKO,秋田県
7th style,MAX 300,887,KKR,秋田県,1881,EOTOKO,秋田県,,,
7th style,Marmalade Reverie,696,IIDX23,秋田県,909,RETRY,秋田県,1236,AJI.,秋田県
7th style,Love Me Do,1001,ALICER,秋田県,1548,AB-FRY,秋田県,2047,AAAAAA,秋田県
7th style,Let the Snow Paint Me,405,PENKO*,秋田県,929,RETRY,秋田県,1219,AJI.,秋田県
7th style,Last Message,900,KKR,秋田県,1243,KANI,秋田県,1540,EOTOKO,秋田県
7th style,Happy Wedding,1088,KANI,秋田県,1436,GOJA,秋田県,1745,AJI.,秋田県
7th style,Glorious Days,471,GOJA,秋田県,643,WHITE,秋田県,868,EOTOKO,秋田県
7th style,foreplay,578,WHITE,秋田県,974,A*RISK,秋田県,1252,EOTOKO,秋田県
7th style,DESTINY,779,IIDX23,秋田県,1120,ORIT-R,秋田県,1773,EOTOKO,秋田県
7th style,D2R,858,AB-FRY,秋田県,1192,A*RISK,秋田県,1571,EOTOKO,秋田県
7th style,Cheer Train,901,-GEAR-,秋田県,1183,-GEAR-,秋田県,1652,EOTOKO,秋田県
7th style,Burning Heat! (Full Option Mix),610,WHITE,秋田県,617,ZOO,秋田県,1414,EOTOKO,秋田県
7th style,Bad Routine,602,KOHA-9,秋田県,1317,NAGIGI,秋田県,1857,EOTOKO,秋田県
7th style,AVE DE RAPINA,1332,EOTOKO,秋田県,1661,EOTOKO,秋田県,1724,EOTOKO,秋田県
7th style,A,975,CREAM*,秋田県,1945,KANI,秋田県,2320,EOTOKO,秋田県
8th style,蒼い衝動,662,PENKO*,秋田県,1061,RINA77,秋田県,1528,EOTOKO,秋田県
8th style,桜,827,RETRY,秋田県,1339,MAGUR0,秋田県,2035,EOTOKO,秋田県
8th style,合体せよ！ストロングイェーガー！！,1227,WHITE,秋田県,1661,EOTOKO,秋田県,,,
8th style,xenon,919,GOJA,秋田県,1520,AZU,秋田県,2582,EOTOKO,秋田県
8th style,World Wide Love,686,BASTET,秋田県,809,IIDX23,秋田県,1106,RALLY.,秋田県
8th style,WAR GAME,465,TOMO,秋田県,1314,MBURNS,秋田県,2028,EOTOKO,秋田県
8th style,thunder,1062,AB-FRY,秋田県,1482,NAGIGI,秋田県,1816,RALLY.,秋田県
8th style,symbolic,1346,KANI,秋田県,1715,KANI,秋田県,2177,EOTOKO,秋田県
8th style,STAR DREAM,622,CEL-1P,秋田県,1219,DOP26,秋田県,1405,EOTOKO,秋田県
8th style,rainbow flyer,756,CAMINO,秋田県,1541,KANI,秋田県,2049,EOTOKO,秋田県
8th style,PLEASE DON'T GO,791,IIDX23,秋田県,1253,GAME,秋田県,2263,EOTOKO,秋田県
8th style,MUSIC TO YOUR HEAD,476,FLOW,秋田県,1350,AZSA.M,秋田県,1637,EOTOKO,秋田県
8th style,murmur twins,889,CEL-1P,秋田県,1535,CURRY.,秋田県,2266,EOTOKO,秋田県
8th style,Monkey Dance,701,YUTO,秋田県,1295,DEF,秋田県,1914,SGITCH,秋田県
8th style,memories,1113,-GEAR-,秋田県,1922,KANI,秋田県,2188,EOTOKO,秋田県
8th style,LOVE IS ORANGE,642,NOSP,秋田県,965,A*RISK,秋田県,1758,9RNP,秋田県
8th style,LAB,950,RH,秋田県,1847,KANI,秋田県,2018,EOTOKO,秋田県
8th style,Hormiga obrera,937,HCR,秋田県,1198,TECH*,秋田県,1722,EOTOKO,秋田県
8th style,Halfway of promise,856,KKR,秋田県,1397,ZEI*29,秋田県,1733,EOTOKO,秋田県
8th style,Giudecca,768,RH,秋田県,1727,PACHI*,秋田県,2524,EOTOKO,秋田県
8th style,FLUTE MAN,347,FLOW,秋田県,648,ZOO,秋田県,1035,EOTOKO,秋田県
8th style,dual control,729,DOP26,秋田県,934,IIDX21,秋田県,1757,EOTOKO,秋田県
8th style,dissolve,772,IIDX23,秋田県,966,PLC35,秋田県,1496,EOTOKO,秋田県
8th style,Colors -Y&Co. Eurobeat Remix-,1069,DOP26,秋田県,1899,KOB.CL,秋田県,2108,EOTOKO,秋田県
8th style,CELEBRATE NITE,652,CEL-1P,秋田県,1068,DOP26,秋田県,1374,EOTOKO,秋田県
8th style,Blame,1048,S-I-N,秋田県,1416,D.S,秋田県,1887,EOTOKO,秋田県
8th style,bit mania,883,CURRY.,秋田県,1152,RETRY,秋田県,1823,EOTOKO,秋田県
8th style,Attitude,738,AIJN28,秋田県,1252,NAGIGI,秋田県,1695,EOTOKO,秋田県
8th style,ALL RIGHT,803,AB-FRY,秋田県,935,JAGA,秋田県,1584,EOTOKO,秋田県
8th style,airflow,506,WHITE,秋田県,728,NAGIGI,秋田県,1398,RALLY.,秋田県
8th style,abstract,1192,NAGIGI,秋田県,1500,GAME,秋田県,1824,EOTOKO,秋田県
9th style,真夏の花・真夏の夢,563,IIDX21,秋田県,1011,KKR,秋田県,1418,EOTOKO,秋田県
9th style,昭和企業戦士荒山課長,672,OKASHI,秋田県,1167,TAMA,秋田県,1595,AJI.,秋田県
9th style,ライオン好き,578,WHITE,秋田県,1159,KANI,秋田県,1451,EOTOKO,秋田県
9th style,SWEETEST SAVAGE,629,KOB.CL,秋田県,1322,KOB.CL,秋田県,1709,EOTOKO,秋田県
9th style,Sweet Sweet Magic,797,IIDX23,秋田県,1341,WITH,秋田県,1975,EOTOKO,秋田県
9th style,STAR FIELD,608,WHITE,秋田県,1389,CURRY.,秋田県,1815,EOTOKO,秋田県
9th style,SNOW,853,IIDX23,秋田県,1079,YUTO,秋田県,1932,EOTOKO,秋田県
9th style,Silvia Drive,501,YUMI-L,秋田県,1375,A*RISK,秋田県,1958,EOTOKO,秋田県
9th style,rottel-the-Mercury,876,CODBO3,秋田県,1707,*QAZ,秋田県,2177,EOTOKO,秋田県
9th style,RISLIM -Remix-,727,DOP26,秋田県,967,KOB.CL,秋田県,1768,EOTOKO,秋田県
9th style,Really Love,500,Y59JP,秋田県,868,NAGIGI,秋田県,1669,EOTOKO,秋田県
9th style,Quickening,769,3KELA.,秋田県,1586,GUEEEE,秋田県,2039,EOTOKO,秋田県
9th style,quasar,1119,KANI,秋田県,1687,KANI,秋田県,2230,RALLY.,秋田県
9th style,POWER DREAM,703,AB-FRY,秋田県,1297,CREAM*,秋田県,1764,EOTOKO,秋田県
9th style,one or eight,1054,KKR,秋田県,1755,OSANPO,秋田県,2099,EOTOKO,秋田県
9th style,moon_child,858,YUTO,秋田県,1867,OSANPO,秋田県,2422,EOTOKO,秋田県
9th style,MARIA (I believe... ),504,K-REY,秋田県,1379,A*RISK,秋田県,1876,EOTOKO,秋田県
9th style,Make A Difference,651,IIDX23,秋田県,1427,KANI,秋田県,2107,EOTOKO,秋田県
9th style,lower world,796,AIJN28,秋田県,1655,LARK9,秋田県,2126,BUNCHO,秋田県
9th style,LOVE SHINE,597,KOTORI,秋田県,1721,GAME,秋田県,2021,EOTOKO,秋田県
9th style,lights,584,WELCH,秋田県,1272,AZSA.M,秋田県,1704,EOTOKO,秋田県
9th style,Let The Snow Paint Me -Y&Co. Remix-,776,DOP26,秋田県,1233,KOB.CL,秋田県,1769,EOTOKO,秋田県
9th style,Karma,1067,ALEPH,秋田県,1528,PACHI*,秋田県,1765,EOTOKO,秋田県
9th style,I Was The One (80's EUROBEAT STYLE),731,RH,秋田県,1319,-GEAR-,秋田県,1404,EOTOKO,秋田県
9th style,HYPER EUROBEAT (2DX style),647,PENKO*,秋田県,1550,KANI,秋田県,1874,EOTOKO,秋田県
9th style,Golden Horn,609,KKR,秋田県,947,RH,秋田県,1450,EOTOKO,秋田県
9th style,ECHOES,852,NAGIGI,秋田県,1074,NAGIGI,秋田県,1963,EOTOKO,秋田県
9th style,e-motion 2003 -romantic extra-,1218,DOP26,秋田県,1317,1MB,秋田県,1923,EOTOKO,秋田県
9th style,Distress,1231,CURRY.,秋田県,1769,EOTOKO,秋田県,,,
9th style,Cradle,734,ALEPH,秋田県,1344,GAME,秋田県,1542,EOTOKO,秋田県
9th style,BRIGHTNESS DARKNESS,622,WELCH,秋田県,1213,RH,秋田県,1703,EOTOKO,秋田県
9th style,bag,623,PENKO*,秋田県,1158,BASTET,秋田県,1851,AOTA,秋田県
9th style,BAD BOY BASS!! (dj Remo-con MIX),627,PENKO*,秋田県,1244,NAGIGI,秋田県,1720,EOTOKO,秋田県
9th style,ACT,928,S-I-N,秋田県,1561,PACHI*,秋田県,1810,EOTOKO,秋田県
9th style,Abyss -The Heavens Remix-,1177,KAZ,秋田県,1729,GAMEO,秋田県,2283,CODAI,秋田県
10th style,雪月花,1067,RETRY,秋田県,1765,GAMEO,秋田県,2339,EOTOKO,秋田県
10th style,システムロマンス,638,AIJN28,秋田県,1507,ORIT-R,秋田県,1959,EOTOKO,秋田県
10th style,SPACE FIGHT,618,LILY.P,秋田県,1356,NAGIGI,秋田県,2158,EOTOKO,秋田県
10th style,SHOOTING STAR,995,ALEPH,秋田県,1454,WITH,秋田県,2204,EOTOKO,秋田県
10th style,Rise'n Beauty,941,CODBO3,秋田県,1408,A*RISK,秋田県,2096,EOTOKO,秋田県
10th style,Ready To Rockit Blues,370,WELCH,秋田県,954,BASTET,秋田県,1357,AJI.,秋田県
10th style,rainbow rainbow,1534,CURRY.,秋田県,2087,KANI,秋田県,2609,EOTOKO,秋田県
10th style,pandora,782,AB-FRY,秋田県,1522,DOP26,秋田県,1758,RALLY.,秋田県
10th style,One More Lovely,852,CAMINO,秋田県,1527,A*RISK,秋田県,2645,EOTOKO,秋田県
10th style,No.13,1403,A*RISK,秋田県,2533,KOB.CL,秋田県,2958,B,秋田県
10th style,Narcissus At Oasis,769,KOB.CL,秋田県,1461,GAMEO,秋田県,1578,RALLY.,秋田県
10th style,Lucy,936,L-HAKU,秋田県,1535,NAGIGI,秋田県,2246,EOTOKO,秋田県
10th style,LOW,611,WHITE,秋田県,1327,KANI,秋田県,1682,EOTOKO,秋田県
10th style,Love Is Eternity,1111,S-I-N,秋田県,1774,NAGIGI,秋田県,2311,EOTOKO,秋田県
10th style,Innocent Walls,1476,KANI,秋田県,2360,EOTOKO,秋田県,2649,EOTOKO,秋田県
10th style,HIGH,818,ALICER,秋田県,1778,KANI,秋田県,2113,EOTOKO,秋田県
10th style,HI SCHOOL DREAM,690,IIDX23,秋田県,1241,CAMINO,秋田県,1737,AJI.,秋田県
10th style,GRADIUS -FULL SPEED-,495,IIDX21,秋田県,988,D.S,秋田県,1959,EOTOKO,秋田県
10th style,GHOST REVIVAL,804,RETRY,秋田県,1829,BASHI,秋田県,2450,EOTOKO,秋田県
10th style,Freezing atmosphere,799,EOTOKO,秋田県,1063,EOTOKO,秋田県,1441,EOTOKO,秋田県
10th style,FEEL IT,818,RH,秋田県,1612,VAIKLE,秋田県,1913,EOTOKO,秋田県
10th style,Feedback,862,WHITE,秋田県,1409,ZEI*29,秋田県,1854,EOTOKO,秋田県
10th style,EXE,773,AB-FRY,秋田県,1518,KANI,秋田県,2164,EOTOKO,秋田県
10th style,DoLL,785,ANT-UR,秋田県,1055,WHITE,秋田県,1578,AJI.,秋田県
10th style,desolation,463,TN9108,秋田県,590,WHITE,秋田県,738,EOTOKO,秋田県
10th style,Debtty Daddy,505,PENKO*,秋田県,1814,K.AI,秋田県,2604,EOTOKO,秋田県
10th style,Daisuke,1065,ALICER,秋田県,1485,D.S,秋田県,2335,EOTOKO,秋田県
10th style,CARRY ON NIGHT (English version),956,CURRY.,秋田県,1256,NAGIGI,秋田県,1956,EOTOKO,秋田県
10th style,Boundary,596,IIDX23,秋田県,1705,PACHI*,秋田県,2016,EOTOKO,秋田県
10th style,Back Into The Light,886,MIYA,秋田県,1421,AB-FRY,秋田県,2098,EOTOKO,秋田県
10th style,BABY LOVE,758,PENKO*,秋田県,1462,RETRY,秋田県,2056,EOTOKO,秋田県
10th style,ASTRAL VOYAGE,803,ZOO,秋田県,1091,ORIT-R,秋田県,1834,EOTOKO,秋田県
10th style,ALIEN TEMPLE,834,WHITE,秋田県,1166,AIR.S.,秋田県,1971,EOTOKO,秋田県
10th style,1st Samurai,834,CEL-1P,秋田県,1793,OSANPO,秋田県,2522,B,秋田県
IIDX RED,ＵＬＴｉＭΛＴＥ,836,RH,秋田県,1368,KANI,秋田県,1942,EOTOKO,秋田県
IIDX RED,太陽～T・A・I・Y・O～,796,-GEAR-,秋田県,1361,DEF,秋田県,1686,EOTOKO,秋田県
IIDX RED,大桟橋,410,KKR,秋田県,740,ZOO,秋田県,1746,EOTOKO,秋田県
IIDX RED,ピアノ協奏曲第１番”蠍火”,762,NAGIGI,秋田県,1994,RALLY.,秋田県,2482,EOTOKO,秋田県
IIDX RED,Wonder Bullfighter,894,CURRY.,秋田県,1148,RINA77,秋田県,1896,EOTOKO,秋田県
IIDX RED,The Hope of Tomorrow,648,PENKO*,秋田県,1559,KANI,秋田県,1839,EOTOKO,秋田県
IIDX RED,spiral galaxy,636,NOSP,秋田県,1829,GAME,秋田県,2512,EOTOKO,秋田県
IIDX RED,Sphere,963,RH,秋田県,1718,KANI,秋田県,2118,EOTOKO,秋田県
IIDX RED,SPEEDY CAT,913,IIDX21,秋田県,1549,NAGIGI,秋田県,1979,RALLY.,秋田県
IIDX RED,Secret of Love,739,ANT-UR,秋田県,1372,NAGIGI,秋田県,1935,EOTOKO,秋田県
IIDX RED,RESONATE 1794,896,CURRY.,秋田県,1365,GAMEO,秋田県,1823,EOTOKO,秋田県
IIDX RED,RED ZONE,936,IIDX23,秋田県,1644,DEF,秋田県,2230,RALLY.,秋田県
IIDX RED,Raspberry Heart(English version),832,IIDX23,秋田県,1492,KANI,秋田県,1788,EOTOKO,秋田県
IIDX RED,NEBULA GRASPER,1206,AB-FRY,秋田県,1789,KANI,秋田県,2383,VAIKLE,秋田県
IIDX RED,More Move,801,IIDX23,秋田県,1196,KM-4DX,秋田県,1656,EOTOKO,秋田県
IIDX RED,KEY,955,ALEPH,秋田県,1674,TYNN,秋田県,2776,EOTOKO,秋田県
IIDX RED,INJECTION OF LOVE,345,PENKO*,秋田県,864,3KELA.,秋田県,1477,EOTOKO,秋田県
IIDX RED,HORIZON,642,PENKO*,秋田県,1387,WITH,秋田県,1904,EOTOKO,秋田県
IIDX RED,gigadelic,1356,CURRY.,秋田県,2037,AOTA,秋田県,2373,EOTOKO,秋田県
IIDX RED,GENOCIDE,855,RETRY,秋田県,1969,GAMEO,秋田県,2243,B,秋田県
IIDX RED,Fly Away To India,660,CAMINO,秋田県,991,S-I-N,秋田県,1345,EOTOKO,秋田県
IIDX RED,FAKE TIME,898,KM-4DX,秋田県,1659,UNAGI,秋田県,2288,EOTOKO,秋田県
IIDX RED,earth scape,422,GOJA,秋田県,921,TN9108,秋田県,1233,EOTOKO,秋田県
IIDX RED,Don't be afraid myself,917,ALEPH,秋田県,1684,KANI,秋田県,2187,EOTOKO,秋田県
IIDX RED,D.A.N.C.E.!,520,RH,秋田県,752,DOP26,秋田県,1497,EOTOKO,秋田県
IIDX RED,Close my Eyes for Me,,,,1233,WITH,秋田県,1747,EOTOKO,秋田県
IIDX RED,Click Again,568,YUTO,秋田県,1285,WITH,秋田県,2067,EOTOKO,秋田県
IIDX RED,BREATH,885,NAGIGI,秋田県,1233,NAGIGI,秋田県,1664,AOTA,秋田県
IIDX RED,BLOCKS,626,CLM,秋田県,1184,NAGIGI,秋田県,1871,AOTA,秋田県
IIDX RED,Be quiet,599,429,秋田県,1601,CREAM*,秋田県,2102,EOTOKO,秋田県
IIDX RED,awakening,919,KKR,秋田県,1346,A-BE*Q,秋田県,1603,AJI.,秋田県
IIDX RED,ANDROMEDA,886,KKR,秋田県,1750,S-I-N,秋田県,2781,EOTOKO,秋田県
IIDX RED,AGEHA,1047,-GEAR-,秋田県,1690,-GEAR-,秋田県,1826,EOTOKO,秋田県
IIDX RED,AA,1211,NAGIGI,秋田県,2540,CODAI,秋田県,3420,EOTOKO,秋田県
HAPPY SKY,月光,782,RH,秋田県,1648,DEF,秋田県,2342,EOTOKO,秋田県
HAPPY SKY,合体せよ！ストロングイェーガー！！ (Ryu☆ remix),1074,DEF,秋田県,1436,D.S,秋田県,1815,-GEAR-,秋田県
HAPPY SKY,冥,1058,KOB.CL,秋田県,1940,GAMAS,秋田県,3373,EOTOKO,秋田県
HAPPY SKY,ラクエン,463,ALEPH,秋田県,710,TAKI,秋田県,1851,EOTOKO,秋田県
HAPPY SKY,ヒマワリ,508,KKR,秋田県,1696,*HATO*,秋田県,2016,EOTOKO,秋田県
HAPPY SKY,オレはビートマニア！お前は何マニア？,644,DEPT.,秋田県,1324,NAGIGI,秋田県,1645,EOTOKO,秋田県
HAPPY SKY,Xepher,1007,KKR,秋田県,2034,KOB.CL,秋田県,2839,VAIKLE,秋田県
HAPPY SKY,We are Disっ娘よっつ打ち命,581,ALEPH,秋田県,786,IIDX23,秋田県,1632,RALLY.,秋田県
HAPPY SKY,Votum stellarum,596,CANNON,秋田県,1543,DOP26,秋田県,1883,EOTOKO,秋田県
HAPPY SKY,vault of heaven,503,COM,秋田県,1273,TN9108,秋田県,1939,EOTOKO,秋田県
HAPPY SKY,Under the Sky,745,N.A,秋田県,1340,CHIE.,秋田県,1690,EOTOKO,秋田県
