バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,663,KKR,秋田県,888,N-TOFU,秋田県,1116,EOTOKO,秋田県,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,271,K,秋田県,1050,EOTOKO,秋田県,1931,PU2*A7,秋田県
1st&substream,R3,0,,-,611,HN0123,秋田県,638,RETRY,秋田県,886,EOTOKO,秋田県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,542,KOMATI,秋田県,715,LUCI,秋田県,1079,EOTOKO,秋田県,0,,-
1st&substream,Macho Gang,0,,-,364,HIROMI,秋田県,1031,87MARU,秋田県,1536,1NOSE,秋田県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,62,SUN573,秋田県,242,AU-MIN,秋田県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,745,4M4N0,秋田県,974,GANYU,秋田県,1157,EOTOKO,秋田県,0,,-
1st&substream,gentle stress,0,,-,335,87MARU,秋田県,599,29Q,秋田県,1403,EOTOKO,秋田県,0,,-
1st&substream,GENOM SCREAMS,0,,-,284,IIDX29,秋田県,744,RETRY,秋田県,1036,EOTOKO,秋田県,0,,-
1st&substream,GAMBOL,0,,-,260,HN0123,秋田県,266,MGC*R,秋田県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,155,IRY,秋田県,328,K,秋田県,557,EOTOKO,秋田県,0,,-
1st&substream,deep in you,0,,-,0,,-,451,GR3,秋田県,641,EOTOKO,秋田県,0,,-
1st&substream,5.1.1.,0,,-,192,87MARU,秋田県,1000,87MARU,秋田県,1534,NASUO,秋田県,0,,-
1st&substream,22DUNK,0,,-,205,MTBLUE,秋田県,515,29Q,秋田県,647,EOTOKO,秋田県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,605,AU-MIN,秋田県,639,EOTOKO,秋田県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,327,58326,秋田県,838,EOTOKO,秋田県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,813,KOMATI,秋田県,988,KOMATI,秋田県,1166,EOTOKO,秋田県,0,,-
2nd style,I Was The One,0,,-,518,87MARU,秋田県,635,AKAMA,秋田県,686,EOTOKO,秋田県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,910,87MARU,秋田県,1053,EOTOKO,秋田県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,898,KKR,秋田県,1082,EOTOKO,秋田県,0,,-
2nd style,.59,0,,-,0,,-,963,NASUO,秋田県,1131,EOTOKO,秋田県,0,,-
3rd style,THE SAFARI,285,DUSS,秋田県,1175,Q-SILV,秋田県,1711,EOTOKO,秋田県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,196,90G.,秋田県,392,EOTOKO,秋田県,0,,-,0,,-
3rd style,Skyscraper,0,,-,706,AKAMA,秋田県,1067,LUCI,秋田県,1201,NASUO,秋田県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1153,TWEAK!,秋田県,1653,EOTOKO,秋田県,0,,-
3rd style,REINCARNATION,0,,-,439,KRG,秋田県,827,4K1T4,秋田県,1231,EOTOKO,秋田県,0,,-
3rd style,R5,0,,-,415,RIC,秋田県,1109,87MARU,秋田県,1736,OGRCAP,秋田県,0,,-
3rd style,Presto,0,,-,420,NAO,秋田県,899,87MARU,秋田県,986,EOTOKO,秋田県,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,1018,N-TOFU,秋田県,1228,EOTOKO,秋田県,0,,-
3rd style,Holic,0,,-,0,,-,1131,87MARU,秋田県,1612,NASUO,秋田県,0,,-
3rd style,era (nostalmix),0,,-,803,TWEAK!,秋田県,1068,Y-I.,秋田県,1473,PU2*A7,秋田県,0,,-
3rd style,Don't Stop!,0,,-,748,87MARU,秋田県,512,K,秋田県,896,NAGIGI,秋田県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,591,KOMATI,秋田県,1205,EOTOKO,秋田県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,858,87MARU,秋田県,1164,PU2*A7,秋田県,1262,Y-I.,秋田県,0,,-
4th style,SWEET LAB,0,,-,0,,-,910,Q-SILV,秋田県,1291,EOTOKO,秋田県,0,,-
4th style,starmine,0,,-,764,ZE9ROM,秋田県,1364,NASUO,秋田県,1522,NASUO,秋田県,0,,-
4th style,Mr.T.(take me higher),0,,-,672,KULEA,秋田県,583,S-C-U,秋田県,1701,EOTOKO,秋田県,0,,-
4th style,minimalian,0,,-,0,,-,768,DORI,秋田県,1343,NASUO,秋田県,0,,-
4th style,LOVE WILL・・・,0,,-,485,SHUN-X,秋田県,672,SHUN-X,秋田県,1444,HATO,秋田県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1075,JOBMAN,秋田県,2240,Y-I.,秋田県,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,695,KIMIK0,秋田県,980,EOTOKO,秋田県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,998,KULEA,秋田県,1263,NAGIGI,秋田県,1868,HATO,秋田県
4th style,HIGHER,0,,-,509,HN0123,秋田県,769,RETRY,秋田県,1250,NAGIGI,秋田県,0,,-
4th style,FLOWERS for ALBION,0,,-,87,MTBLUE,秋田県,426,NAGIGI,秋田県,0,,-,0,,-
4th style,era (step mix),0,,-,973,ZE9ROM,秋田県,1294,DEF,秋田県,1626,EOTOKO,秋田県,0,,-
4th style,empathy,0,,-,774,KOMATI,秋田県,1100,N-TOFU,秋田県,1439,EOTOKO,秋田県,0,,-
4th style,DXY!,0,,-,675,K,秋田県,1730,1121.,秋田県,2155,Y-I.,秋田県,0,,-
4th style,Clione,0,,-,433,NAO,秋田県,888,SHUN-X,秋田県,1556,-GEAR-,秋田県,2056,A-BE*Q,秋田県
4th style,CHECKING YOU OUT,0,,-,571,DEF,秋田県,732,N-TOFU,秋田県,1306,HATO,秋田県,0,,-
4th style,Burnin' The Floor,0,,-,212,MIHO,秋田県,553,K,秋田県,1405,EOTOKO,秋田県,0,,-
4th style,Broken My Heart,0,,-,2,AJILLO,秋田県,1264,YUT0,秋田県,1756,EOTOKO,秋田県,0,,-
4th style,B4U,0,,-,1016,IIDX28,秋田県,1494,87MARU,秋田県,1923,EOTOKO,秋田県,0,,-
4th style,ABSOLUTE,0,,-,1229,HN0123,秋田県,1675,Q-SILV,秋田県,2252,NASUO,秋田県,2587,PU2*A7,秋田県
4th style,250bpm,0,,-,641,HN0123,秋田県,853,*M*,秋田県,1309,NASUO,秋田県,0,,-
5th style,V,198,MTBLUE,秋田県,1019,HIDAKA,秋田県,2389,NASUO,秋田県,2884,1NOSE,秋田県,0,,-
5th style,THE SHINING POLARIS,0,,-,839,KKR,秋田県,1117,AK,秋田県,1563,EOTOKO,秋田県,0,,-
5th style,THE CUBE,0,,-,0,,-,1254,HATO,秋田県,1317,EOTOKO,秋田県,0,,-
5th style,sync,0,,-,0,,-,1733,SHUN-X,秋田県,2313,EOTOKO,秋田県,0,,-
5th style,still my words,0,,-,459,MTBLUE,秋田県,1215,EOTOKO,秋田県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,0,,-,1231,OGRCAP,秋田県,1849,EOTOKO,秋田県,0,,-
5th style,Spin the disc,0,,-,0,,-,521,K,秋田県,1322,HATO,秋田県,0,,-
5th style,sometime,0,,-,709,RETRY,秋田県,1044,HATO,秋田県,1280,EOTOKO,秋田県,0,,-
5th style,RISLIM,0,,-,889,AKAMA,秋田県,1222,EOTOKO,秋田県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,569,TOMO,秋田県,931,YURA,秋田県,1654,1NOSE,秋田県,1752,PU2*A7,秋田県
5th style,Regulus,0,,-,735,ZOO,秋田県,1319,SUGO10,秋田県,1634,EOTOKO,秋田県,0,,-
5th style,Real,0,,-,0,,-,977,DORI,秋田県,1758,EOTOKO,秋田県,0,,-
5th style,Radical Faith,0,,-,1149,87MARU,秋田県,1477,EOTOKO,秋田県,1249,NAGIGI,秋田県,0,,-
5th style,QQQ,0,,-,0,,-,1821,87MARU,秋田県,2093,A-BE*Q,秋田県,0,,-
5th style,outer wall,0,,-,0,,-,626,K,秋田県,1723,EOTOKO,秋田県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,0,,-,974,AKAMA,秋田県,1072,EOTOKO,秋田県,0,,-
5th style,in my eyes,0,,-,0,,-,637,K,秋田県,1521,EOTOKO,秋田県,0,,-
5th style,Abyss,0,,-,786,TOMO,秋田県,1544,87MARU,秋田県,1829,EOTOKO,秋田県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,631,TOMO,秋田県,1481,NAGIGI,秋田県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,0,,-,1012,RETRY,秋田県,1330,EOTOKO,秋田県,0,,-
6th style,VJ ARMY,0,,-,830,4M4N0,秋田県,1498,DEF,秋田県,2159,EOTOKO,秋田県,0,,-
6th style,Take It Easy,0,,-,1138,IIDX29,秋田県,2305,HATO,秋田県,2449,PU2*A7,秋田県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1162,SHUN-X,秋田県,1767,EOTOKO,秋田県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,0,,-,1309,AU-MIN,秋田県,1923,EOTOKO,秋田県,0,,-
6th style,route 80s,0,,-,0,,-,1102,87MARU,秋田県,1475,EOTOKO,秋田県,0,,-
6th style,rottel-da-sun,0,,-,794,87MARU,秋田県,1123,NOIN,秋田県,1812,1NOSE,秋田県,0,,-
6th style,NEMESIS,0,,-,955,1121.,秋田県,1354,RH,秋田県,1809,EOTOKO,秋田県,0,,-
6th style,Linus,0,,-,822,ZOO,秋田県,1353,KOFFEE,秋田県,2144,EOTOKO,秋田県,0,,-
6th style,G2,0,,-,1386,Q-SILV,秋田県,1604,Q-SILV,秋田県,2231,EOTOKO,秋田県,0,,-
6th style,Frozen Ray (original mix),0,,-,1166,YURA,秋田県,1698,HATO,秋田県,1751,EOTOKO,秋田県,0,,-
6th style,Free Style,0,,-,867,1121.,秋田県,549,K,秋田県,1263,HATO,秋田県,0,,-
6th style,fly through the night,0,,-,857,HN0123,秋田県,1108,RETRY,秋田県,1637,EOTOKO,秋田県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1257,1121.,秋田県,1510,RETRY,秋田県,2037,EOTOKO,秋田県,0,,-
6th style,Colors (radio edit),0,,-,700,H.T,秋田県,1648,RH,秋田県,2329,Y-I.,秋田県,0,,-
6th style,Buffalo,0,,-,951,1121.,秋田県,1128,RETRY,秋田県,1680,NAGIGI,秋田県,2385,SSRN,秋田県
6th style,Blueberry Stream,0,,-,811,1121.,秋田県,1219,RETRY,秋田県,1568,EOTOKO,秋田県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,560,1121.,秋田県,433,K,秋田県,1053,NAGIGI,秋田県,0,,-
6th style,"19,November",0,,-,1060,1121.,秋田県,841,TOMO,秋田県,1787,HATO,秋田県,0,,-
7th style,革命,0,,-,723,HN0123,秋田県,1692,696,秋田県,2215,PU2*A7,秋田県,0,,-
7th style,ZERO-ONE,0,,-,542,RIC,秋田県,1369,RETRY,秋田県,2193,EOTOKO,秋田県,0,,-
7th style,traces,0,,-,1442,1121.,秋田県,1565,YURA,秋田県,2084,EOTOKO,秋田県,0,,-
7th style,Tomorrow Perfume,0,,-,1281,1121.,秋田県,1824,HATO,秋田県,2076,EOTOKO,秋田県,0,,-
7th style,stoic,0,,-,1489,S-I-N,秋田県,2205,HATO,秋田県,2460,1NOSE,秋田県,0,,-
7th style,Spica,0,,-,638,HATO,秋田県,1249,ST205,秋田県,2119,EOTOKO,秋田県,0,,-
7th style,Love Me Do,0,,-,1111,87MARU,秋田県,1566,NORIKA,秋田県,2086,NASUO,秋田県,0,,-
7th style,Let the Snow Paint Me,0,,-,804,1121.,秋田県,653,TOMO,秋田県,1214,NAGIGI,秋田県,0,,-
7th style,Last Message,0,,-,960,1121.,秋田県,1170,PAN,秋田県,1535,EOTOKO,秋田県,0,,-
7th style,Happy Wedding,0,,-,1125,1121.,秋田県,1161,DEF,秋田県,1752,1NOSE,秋田県,0,,-
7th style,Glorious Days,0,,-,477,KOMATI,秋田県,708,TWEAK!,秋田県,873,HATO,秋田県,0,,-
7th style,foreplay,0,,-,0,,-,836,YKR-Y,秋田県,1303,EOTOKO,秋田県,0,,-
7th style,DESTINY,0,,-,1045,1121.,秋田県,974,ZOO,秋田県,1748,OGRCAP,秋田県,0,,-
7th style,D2R,0,,-,903,1121.,秋田県,1125,AJILLO,秋田県,1603,EOTOKO,秋田県,0,,-
7th style,Cheer Train,0,,-,820,1121.,秋田県,928,IIDX29,秋田県,1680,EOTOKO,秋田県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,675,1121.,秋田県,367,K,秋田県,1418,EOTOKO,秋田県,0,,-
7th style,Bad Routine,0,,-,976,1121.,秋田県,1121,KIMIK0,秋田県,1862,HATO,秋田県,0,,-
7th style,AVE DE RAPINA,0,,-,1316,1121.,秋田県,1426,YUT0,秋田県,1764,EOTOKO,秋田県,0,,-
7th style,A,0,,-,1206,HN0123,秋田県,2018,HATO,秋田県,2397,PU2*A7,秋田県,0,,-
8th style,蒼い衝動,0,,-,0,,-,794,$100,秋田県,1555,EOTOKO,秋田県,0,,-
8th style,桜,0,,-,887,SHUN-X,秋田県,1401,AU-MIN,秋田県,2051,EOTOKO,秋田県,0,,-
8th style,xenon,0,,-,0,,-,1577,Q-SILV,秋田県,2609,NASUO,秋田県,0,,-
8th style,World Wide Love,0,,-,610,1121.,秋田県,0,,-,1103,NASUO,秋田県,0,,-
8th style,WAR GAME,0,,-,942,HATO,秋田県,1384,YUT0,秋田県,2091,Y-I.,秋田県,0,,-
8th style,thunder,0,,-,1049,1121.,秋田県,1491,87MARU,秋田県,1810,EOTOKO,秋田県,0,,-
8th style,symbolic,0,,-,1388,1121.,秋田県,1755,HATO,秋田県,2203,EOTOKO,秋田県,0,,-
8th style,rainbow flyer,0,,-,802,HATO,秋田県,1367,HGRKTR,秋田県,2068,EOTOKO,秋田県,0,,-
8th style,PLEASE DON'T GO,0,,-,901,1121.,秋田県,1330,HATO,秋田県,2339,Y-I.,秋田県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,786,1121.,秋田県,1292,S-I-N,秋田県,1646,EOTOKO,秋田県,0,,-
8th style,murmur twins,0,,-,1086,TORU.K,秋田県,1466,RH,秋田県,2323,EOTOKO,秋田県,0,,-
8th style,Monkey Dance,0,,-,792,1121.,秋田県,1271,87MARU,秋田県,1944,EOTOKO,秋田県,0,,-
8th style,memories,0,,-,1050,1121.,秋田県,1828,RETRY,秋田県,2177,NASUO,秋田県,0,,-
8th style,Luv 2 Feel Your Body,0,,-,802,1121.,秋田県,621,IIDX29,秋田県,1593,EOTOKO,秋田県,0,,-
8th style,LOVE IS ORANGE,0,,-,544,MO,秋田県,853,RETRY,秋田県,1771,HATO,秋田県,2068,EOTOKO,秋田県
8th style,LAB,0,,-,998,1121.,秋田県,1658,SRKM,秋田県,2014,EOTOKO,秋田県,0,,-
8th style,HYPER BOUNDARY GATE,0,,-,1194,87MARU,秋田県,1565,N-TOFU,秋田県,2170,EOTOKO,秋田県,0,,-
8th style,Halfway of promise,0,,-,910,HGRKTR,秋田県,1348,YUT0,秋田県,1745,HATO,秋田県,0,,-
8th style,Giudecca,0,,-,860,1121.,秋田県,1843,HATO,秋田県,2544,A-BE*Q,秋田県,0,,-
8th style,dual control,0,,-,0,,-,1379,HATO,秋田県,1825,EOTOKO,秋田県,0,,-
8th style,Colors -Y&Co. Eurobeat Remix-,0,,-,0,,-,1774,54W4K!,秋田県,2131,EOTOKO,秋田県,0,,-
8th style,CELEBRATE NITE,0,,-,889,1121.,秋田県,0,,-,1370,EOTOKO,秋田県,0,,-
8th style,Blame,0,,-,1174,IIDX28,秋田県,1364,S-I-N,秋田県,1875,EOTOKO,秋田県,0,,-
8th style,bit mania,0,,-,847,1121.,秋田県,1089,TEMA.,秋田県,1821,EOTOKO,秋田県,0,,-
8th style,Attitude,0,,-,979,1121.,秋田県,1274,TORU.K,秋田県,1689,EOTOKO,秋田県,0,,-
8th style,ALL RIGHT,0,,-,826,1121.,秋田県,932,KIMIK0,秋田県,1572,EOTOKO,秋田県,0,,-
8th style,airflow,0,,-,494,1121.,秋田県,763,HATO,秋田県,1398,H4RN..,秋田県,0,,-
8th style,abstract,0,,-,1173,1121.,秋田県,1453,87MARU,秋田県,1854,HATO,秋田県,0,,-
9th style,真夏の花・真夏の夢,0,,-,783,KOMATI,秋田県,1048,TWEAK!,秋田県,1430,HATO,秋田県,0,,-
9th style,ライオン好き,0,,-,624,1121.,秋田県,1077,N-TOFU,秋田県,1460,HATO,秋田県,0,,-
9th style,SWEETEST SAVAGE,0,,-,635,1121.,秋田県,1276,87MARU,秋田県,1754,HATO,秋田県,0,,-
9th style,Sweet Sweet Magic,0,,-,982,1121.,秋田県,1238,RETRY,秋田県,1985,EOTOKO,秋田県,0,,-
9th style,STAR FIELD,0,,-,0,,-,1459,87MARU,秋田県,1826,HATO,秋田県,0,,-
9th style,SNOW,0,,-,0,,-,1036,HIWA*K,秋田県,1959,EOTOKO,秋田県,0,,-
9th style,Silvia Drive,0,,-,822,HATO,秋田県,1270,AJILLO,秋田県,1994,Y-I.,秋田県,0,,-
9th style,rottel-the-Mercury,0,,-,948,1121.,秋田県,1702,NORIKA,秋田県,2251,1NOSE,秋田県,0,,-
9th style,RISLIM -Remix-,0,,-,786,HATO,秋田県,958,HATO,秋田県,1844,EOTOKO,秋田県,0,,-
9th style,Really Love,0,,-,613,Q-SILV,秋田県,754,NORIKA,秋田県,1651,&#173,秋田県,0,,-
9th style,Quickening,0,,-,922,1121.,秋田県,1539,SHUN-X,秋田県,2076,1NOSE,秋田県,0,,-
9th style,quasar,0,,-,1102,HN0123,秋田県,1721,87MARU,秋田県,2270,1NOSE,秋田県,0,,-
9th style,one or eight,0,,-,1305,87MARU,秋田県,1695,OKE,秋田県,2194,Y-I.,秋田県,0,,-
9th style,moon_child,0,,-,0,,-,1790,Q-SILV,秋田県,2435,EOTOKO,秋田県,0,,-
9th style,MARIA (I believe... ),0,,-,717,1121.,秋田県,1373,TORU.K,秋田県,1873,1121.,秋田県,0,,-
9th style,Make A Difference,0,,-,824,1121.,秋田県,1317,NORIKA,秋田県,2154,EOTOKO,秋田県,0,,-
9th style,lower world,0,,-,1347,HATO,秋田県,1585,HN0123,秋田県,2134,A-BE*Q,秋田県,0,,-
9th style,LOVE SHINE,531,HATO,秋田県,815,1121.,秋田県,1802,-GEAR-,秋田県,2053,PU2*A7,秋田県,0,,-
9th style,lights,0,,-,685,1121.,秋田県,1453,HATO,秋田県,1708,EOTOKO,秋田県,0,,-
9th style,Karma,0,,-,1281,HN0123,秋田県,1493,RH,秋田県,1769,EOTOKO,秋田県,0,,-
9th style,I Was The One (80's EUROBEAT STYLE),0,,-,770,1121.,秋田県,1228,SHUN-X,秋田県,1392,A-BE*Q,秋田県,0,,-
9th style,HYPER EUROBEAT (2DX style),0,,-,1073,1121.,秋田県,0,,-,1922,EOTOKO,秋田県,0,,-
9th style,Golden Horn,0,,-,0,,-,1032,HN0123,秋田県,1379,&#173,秋田県,0,,-
9th style,e-motion 2003  -romantic extra-,0,,-,1254,1121.,秋田県,1351,N-TOFU,秋田県,1932,NASUO,秋田県,0,,-
9th style,Distress,0,,-,914,CONP,秋田県,1778,EOTOKO,秋田県,0,,-,0,,-
9th style,Cradle,0,,-,847,1121.,秋田県,1440,87MARU,秋田県,1545,EOTOKO,秋田県,0,,-
9th style,BRIGHTNESS DARKNESS,0,,-,709,1121.,秋田県,1357,HN0123,秋田県,1740,EOTOKO,秋田県,0,,-
9th style,bag,0,,-,900,1121.,秋田県,1180,HATO,秋田県,1871,EOTOKO,秋田県,0,,-
9th style,BAD BOY BASS!! (dj Remo-con MIX),0,,-,908,1121.,秋田県,1157,TWEAK!,秋田県,1738,NASUO,秋田県,0,,-
9th style,ATOMIC AGE,0,,-,343,1121.,秋田県,593,RETRY,秋田県,1272,HATO,秋田県,0,,-
9th style,ACT,0,,-,1045,HATO,秋田県,1477,AJILLO,秋田県,1840,EOTOKO,秋田県,0,,-
9th style,Abyss -The Heavens Remix-,561,HATO,秋田県,1294,HGRKTR,秋田県,1750,NASUO,秋田県,2249,1121.,秋田県,0,,-
10th style,雪月花,0,,-,1193,IIDX28,秋田県,1807,HATO,秋田県,2397,1NOSE,秋田県,0,,-
10th style,システムロマンス,0,,-,895,IIDX28,秋田県,1426,RETRY,秋田県,1950,HATO,秋田県,0,,-
10th style,SPACE FIGHT,0,,-,624,1121.,秋田県,1474,-GEAR-,秋田県,2178,HATO,秋田県,0,,-
10th style,SHOOTING STAR,0,,-,839,H.T,秋田県,1493,HN0123,秋田県,2187,ORIGO!,秋田県,0,,-
10th style,Rise'n Beauty,0,,-,0,,-,1485,S-I-N,秋田県,2127,EOTOKO,秋田県,0,,-
10th style,rainbow rainbow,0,,-,935,$100,秋田県,1939,DEF,秋田県,2623,EOTOKO,秋田県,0,,-
10th style,pandora,0,,-,895,K.AI,秋田県,1322,GR3,秋田県,1746,A-BE*Q,秋田県,0,,-
10th style,One More Lovely,0,,-,836,1121.,秋田県,1485,RH,秋田県,2782,1NOSE,秋田県,0,,-
10th style,No.13,0,,-,1355,SATC,秋田県,2329,LAMYCH,秋田県,3070,1NOSE,秋田県,0,,-
10th style,Narcissus At Oasis,0,,-,746,1121.,秋田県,1310,RETRY,秋田県,1580,EOTOKO,秋田県,0,,-
10th style,Lucy,0,,-,930,AKAMA,秋田県,1508,ANKAKE,秋田県,2277,ORIGO!,秋田県,0,,-
10th style,Love Is Eternity,0,,-,1121,KKR,秋田県,1941,HATO,秋田県,2337,A-BE*Q,秋田県,0,,-
10th style,Innocent Walls,0,,-,1507,Q-SILV,秋田県,2381,Y-I.,秋田県,2703,EOTOKO,秋田県,0,,-
10th style,HIGH,0,,-,915,1121.,秋田県,1876,HATO,秋田県,2128,EOTOKO,秋田県,0,,-
10th style,GRADIUS -FULL SPEED-,0,,-,0,,-,1095,HATO,秋田県,2017,PU2*A7,秋田県,0,,-
10th style,GHOST REVIVAL,0,,-,0,,-,1575,NORIKA,秋田県,2473,NASUO,秋田県,0,,-
10th style,Freezing atmosphere,0,,-,770,1121.,秋田県,836,TAC,秋田県,1388,EOTOKO,秋田県,0,,-
10th style,FEEL IT,0,,-,887,1121.,秋田県,1678,NAGIGI,秋田県,1861,HATO,秋田県,0,,-
10th style,Feedback,0,,-,1027,1121.,秋田県,1405,HN0123,秋田県,1798,EOTOKO,秋田県,0,,-
10th style,EXE,0,,-,155,LPOP,秋田県,1272,NORIKA,秋田県,2137,ORIGO!,秋田県,0,,-
10th style,DoLL,344,HATO,秋田県,904,HN0123,秋田県,1098,RETRY,秋田県,1602,Y-I.,秋田県,0,,-
10th style,desolation,0,,-,170,IRY,秋田県,492,CONE..,秋田県,738,MGC*R,秋田県,0,,-
10th style,Debtty Daddy,0,,-,1003,1121.,秋田県,1880,PU2*A7,秋田県,2580,HATO,秋田県,0,,-
10th style,Daisuke,468,HATO,秋田県,1203,IIDX28,秋田県,1659,-GEAR-,秋田県,2352,Y-I.,秋田県,0,,-
10th style,CARRY ON NIGHT (English version),0,,-,978,1121.,秋田県,1143,AJILLO,秋田県,2024,EOTOKO,秋田県,0,,-
10th style,Boundary,0,,-,834,1121.,秋田県,1722,NASUO,秋田県,1948,NAGIGI,秋田県,0,,-
10th style,Back Into The Light,0,,-,1123,87MARU,秋田県,1022,CONP,秋田県,2112,A-BE*Q,秋田県,0,,-
10th style,BABY LOVE,0,,-,0,,-,1569,S-I-N,秋田県,2088,EOTOKO,秋田県,0,,-
10th style,ASTRAL VOYAGE,0,,-,956,1121.,秋田県,1272,RETRY,秋田県,1850,EOTOKO,秋田県,0,,-
10th style,ALIEN TEMPLE,0,,-,950,1121.,秋田県,1486,S-I-N,秋田県,1951,EOTOKO,秋田県,0,,-
10th style,1st Samurai,0,,-,1036,HN0123,秋田県,1888,HATO,秋田県,2536,EOTOKO,秋田県,0,,-
IIDX RED,ＵＬＴｉＭΛＴＥ,0,,-,926,1121.,秋田県,1304,RETRY,秋田県,1962,PU2*A7,秋田県,0,,-
IIDX RED,太陽～T・A・I・Y・O～,0,,-,805,HN0123,秋田県,1203,RETRY,秋田県,1666,PU2*A7,秋田県,0,,-
IIDX RED,大桟橋,0,,-,220,MTBLUE,秋田県,969,GR3,秋田県,1792,SSRN,秋田県,0,,-
IIDX RED,ピアノ協奏曲第１番”蠍火”,0,,-,801,HATO,秋田県,2056,Y-I.,秋田県,2586,1NOSE,秋田県,0,,-
IIDX RED,Wonder Bullfighter,0,,-,0,,-,1426,HATO,秋田県,1981,Y-I.,秋田県,0,,-
IIDX RED,The Hope of Tomorrow,0,,-,1040,IIDX28,秋田県,1381,RETRY,秋田県,1853,Y-I.,秋田県,0,,-
IIDX RED,spiral galaxy,0,,-,1036,1121.,秋田県,1977,87MARU,秋田県,2482,Y-I.,秋田県,3634,1NOSE,秋田県
IIDX RED,Sphere,0,,-,1066,1121.,秋田県,1893,Y-I.,秋田県,2126,EOTOKO,秋田県,0,,-
IIDX RED,SPEEDY CAT,0,,-,1111,1121.,秋田県,1536,DEF,秋田県,1966,NASUO,秋田県,0,,-
IIDX RED,Secret of Love,0,,-,0,,-,645,$100,秋田県,1949,SSRN,秋田県,0,,-
IIDX RED,RESONATE 1794,0,,-,913,1121.,秋田県,1308,SUGO10,秋田県,1794,NAGIGI,秋田県,0,,-
IIDX RED,RED ZONE,171,OKE,秋田県,1111,HATO,秋田県,1576,ARU-R,秋田県,2298,1NOSE,秋田県,3007,1NOSE,秋田県
IIDX RED,Raspberry Heart(English version),0,,-,1026,IIDX28,秋田県,1490,LUCI,秋田県,1817,PU2*A7,秋田県,0,,-
IIDX RED,NEBULA GRASPER,0,,-,0,,-,1929,HATO,秋田県,2330,NAGIGI,秋田県,0,,-
IIDX RED,KEY,0,,-,0,,-,1706,NORIKA,秋田県,2807,PU2*A7,秋田県,0,,-
IIDX RED,HORIZON,0,,-,1063,1121.,秋田県,1409,N-TOFU,秋田県,1920,SSRN,秋田県,0,,-
IIDX RED,gigadelic,478,SYUUN,秋田県,1424,87MARU,秋田県,2060,Y-I.,秋田県,2430,1NOSE,秋田県,0,,-
IIDX RED,GENOCIDE,0,,-,1138,-GEAR-,秋田県,1890,AU-MIN,秋田県,2286,PU2*A7,秋田県,0,,-
IIDX RED,Fly Away To India,0,,-,0,,-,968,HOLO-,秋田県,1334,A-BE*Q,秋田県,0,,-
IIDX RED,FAKE TIME,0,,-,1005,1121.,秋田県,1721,PU2*A7,秋田県,2297,1NOSE,秋田県,0,,-
IIDX RED,earth scape,0,,-,411,HN0123,秋田県,992,PU2*A7,秋田県,1249,HATO,秋田県,0,,-
IIDX RED,Don't be afraid myself,0,,-,1077,IIDX28,秋田県,1706,PAN,秋田県,2167,PU2*A7,秋田県,0,,-
IIDX RED,D.A.N.C.E.!,0,,-,560,1121.,秋田県,814,HATO,秋田県,1505,HATO,秋田県,0,,-
IIDX RED,Close my Eyes for Me,0,,-,0,,-,1281,GR3,秋田県,1753,EOTOKO,秋田県,0,,-
