バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,723,YAPPO3,福岡県,1000,CYBELE,福岡県,1153,LOOT,福岡県,0,,-
1st&substream,RUGGED ASH,0,,-,262,AAAAAA,福岡県,358,82MRSK,福岡県,1098,LOOT,福岡県,2069,SOMORI,福岡県
1st&substream,R3,0,,-,559,AKI,福岡県,702,KAZAMI,福岡県,904,AMI*,福岡県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,506,TAKA23,福岡県,715,ROGA,福岡県,1118,MR2N,福岡県,0,,-
1st&substream,Macho Gang,0,,-,380,CHOCOA,福岡県,1020,CYBELE,福岡県,1649,MR2N,福岡県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,TAG,福岡県,244,NOGI6G,福岡県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,850,YAPPO3,福岡県,961,YAPPO3,福岡県,1207,MR2N,福岡県,0,,-
1st&substream,gentle stress,0,,-,328,JPFUO,福岡県,558,82MRSK,福岡県,1448,6RAKA3,福岡県,0,,-
1st&substream,GENOM SCREAMS,0,,-,400,JPFUO,福岡県,749,96SAWA,福岡県,1064,LOOT,福岡県,0,,-
1st&substream,GAMBOL,0,,-,257,JPFUO,福岡県,272,MR2N,福岡県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,387,JPFUO,福岡県,478,96SAWA,福岡県,578,MR2N,福岡県,0,,-
1st&substream,deep in you,0,,-,444,YAPPO3,福岡県,405,82MRSK,福岡県,660,MR2N,福岡県,0,,-
1st&substream,5.1.1.,0,,-,194,FINE,福岡県,990,96SAWA,福岡県,1569,LOOT,福岡県,0,,-
1st&substream,22DUNK,0,,-,502,JPFUO,福岡県,633,MOF,福岡県,657,MR2N,福岡県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,348,XYO8,福岡県,554,MOVSNQ,福岡県,646,MR2N,福岡県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,545,GR,福岡県,864,MR2N,福岡県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,694,ERING,福岡県,1032,YAPPO3,福岡県,1226,KURIBO,福岡県,0,,-
2nd style,I Was The One,0,,-,511,GR,福岡県,636,ZEN,福岡県,694,MR2N,福岡県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,612,HAIRA,福岡県,918,KUMA--,福岡県,1068,MR2N,福岡県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,592,AKI,福岡県,944,KED.K,福岡県,1123,MR2N,福岡県,0,,-
2nd style,.59,0,,-,660,NORTH,福岡県,1001,METO.K,福岡県,1156,LOOT,福岡県,0,,-
3rd style,THE SAFARI,347,1,福岡県,1132,1,福岡県,1753,MR2N,福岡県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,272,JPFUO,福岡県,396,NOGI6G,福岡県,0,,-,0,,-
3rd style,Skyscraper,0,,-,571,TETO*,福岡県,961,ERU,福岡県,1250,PLAZA3,福岡県,0,,-
3rd style,Schlagwerk,0,,-,791,COBALT,福岡県,1220,YA,福岡県,1690,LOOT,福岡県,0,,-
3rd style,REINCARNATION,0,,-,652,AKI,福岡県,859,LO-ACU,福岡県,1277,MR2N,福岡県,0,,-
3rd style,R5,0,,-,753,RAWEGG,福岡県,1120,CYBELE,福岡県,1769,LOOT,福岡県,0,,-
3rd style,Presto,0,,-,392,RANJI,福岡県,967,CYBELE,福岡県,1008,LOOT,福岡県,0,,-
3rd style,LEADING CYBER,0,,-,617,HAIRA,福岡県,1128,ROGA,福岡県,1266,PLAZA3,福岡県,0,,-
3rd style,Holic,0,,-,673,RANJI,福岡県,1188,CYBELE,福岡県,1718,KENTAN,福岡県,0,,-
3rd style,era (nostalmix),0,,-,768,TOFU,福岡県,1060,39800W,福岡県,1526,TIHAYA,福岡県,0,,-
3rd style,Don't Stop!,0,,-,724,NAKA.F,福岡県,744,AKI,福岡県,900,TIHAYA,福岡県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,550,TAKA23,福岡県,1252,MR2N,福岡県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,886,2A?MKT,福岡県,1194,MYAU,福岡県,1333,LOOT,福岡県,0,,-
4th style,SWEET LAB,0,,-,427,PAX,福岡県,880,1,福岡県,1377,LOOT,福岡県,0,,-
4th style,starmine,440,Y.M,福岡県,868,1,福岡県,1238,EXSKY,福岡県,1592,MR2N,福岡県,0,,-
4th style,Mr.T.(take me higher),0,,-,820,LITE,福岡県,865,MOVSNQ,福岡県,1760,MR2N,福岡県,0,,-
4th style,minimalian,0,,-,523,NEU,福岡県,1095,Y-AX!S,福岡県,1405,LOOT,福岡県,0,,-
4th style,LOVE WILL・・・,0,,-,529,1,福岡県,678,KED.K,福岡県,1463,PLAZA3,福岡県,0,,-
4th style,KAMIKAZE,0,,-,911,ATELL,福岡県,1380,1,福岡県,2289,LOOT,福岡県,0,,-
4th style,Jam&Marmalade,0,,-,667,RANJI,福岡県,867,CYBELE,福岡県,1015,MR2N,福岡県,0,,-
4th style,Hitch Hiker2,0,,-,802,1,福岡県,1152,#831*,福岡県,1305,TIHAYA,福岡県,1932,LOOT,福岡県
4th style,HIGHER,0,,-,503,SSS,福岡県,681,BLEN-T,福岡県,1276,LOOT,福岡県,0,,-
4th style,FLOWERS for ALBION,0,,-,236,39800W,福岡県,438,MR2N,福岡県,0,,-,0,,-
4th style,era (step mix),0,,-,1050,1,福岡県,1294,IIDX32,福岡県,1707,TIHAYA,福岡県,0,,-
4th style,empathy,0,,-,797,1,福岡県,1324,CYBELE,福岡県,1471,TIHAYA,福岡県,0,,-
4th style,DXY!,0,,-,1126,SUSUME,福岡県,1759,MOYA.F,福岡県,2242,LOOT,福岡県,0,,-
4th style,Clione,0,,-,506,1,福岡県,701,VERMUT,福岡県,1606,KURIBO,福岡県,2156,TIHAYA,福岡県
4th style,CHECKING YOU OUT,0,,-,579,1,福岡県,927,SEAL*3,福岡県,1371,LOOT,福岡県,0,,-
4th style,Burnin' The Floor,0,,-,555,1,福岡県,927,BEEYAN,福岡県,1436,AMI*,福岡県,0,,-
4th style,Broken My Heart,0,,-,889,1,福岡県,1261,*ROSE*,福岡県,1814,LOOT,福岡県,0,,-
4th style,B4U,0,,-,1015,NORTH,福岡県,1419,ROGA,福岡県,2017,LOOT,福岡県,0,,-
4th style,ABSOLUTE,0,,-,1282,1,福岡県,1768,CYBELE,福岡県,2408,LOOT,福岡県,2744,LOOT,福岡県
4th style,250bpm,0,,-,676,39800W,福岡県,919,ROGA,福岡県,1436,MR2N,福岡県,0,,-
5th style,V,329,JPFUO,福岡県,1187,G4ZERV,福岡県,2481,TARKUS,福岡県,2996,AMI*,福岡県,0,,-
5th style,THE SHINING POLARIS,0,,-,810,ATELL,福岡県,1290,CYBELE,福岡県,1590,LOOT,福岡県,0,,-
5th style,THE CUBE,0,,-,590,AKI,福岡県,1213,39800W,福岡県,1352,TIHAYA,福岡県,0,,-
5th style,sync,0,,-,1042,1,福岡県,1722,HAKASE,福岡県,2385,LOOT,福岡県,0,,-
5th style,still my words,0,,-,892,NORTH,福岡県,1234,MR2N,福岡県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,974,1,福岡県,1314,CYBELE,福岡県,1911,TIHAYA,福岡県,0,,-
5th style,Spin the disc,0,,-,765,1,福岡県,1154,ATELL,福岡県,1342,LOOT,福岡県,0,,-
5th style,sometime,0,,-,720,1,福岡県,968,873AN7,福岡県,1326,LOOT,福岡県,0,,-
5th style,RISLIM,0,,-,882,1,福岡県,1233,MR2N,福岡県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,870,1,福岡県,1058,KOH,福岡県,1712,LOOT,福岡県,1849,6RAKA3,福岡県
5th style,Regulus,0,,-,957,1,福岡県,1397,#831*,福岡県,1707,LOOT,福岡県,0,,-
5th style,Real,0,,-,1081,1,福岡県,1653,CYBELE,福岡県,1816,KENTAN,福岡県,0,,-
5th style,Radical Faith,0,,-,852,EDAGE3,福岡県,1523,MR2N,福岡県,1314,LOOT,福岡県,0,,-
5th style,QQQ,0,,-,1183,1,福岡県,1806,ROGA,福岡県,2164,LOOT,福岡県,0,,-
5th style,outer wall,0,,-,878,1,福岡県,1211,873AN7,福岡県,1767,MR2N,福岡県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,719,1,福岡県,900,TOLI,福岡県,1119,MR2N,福岡県,0,,-
5th style,in my eyes,0,,-,941,1,福岡県,1253,TOFU,福岡県,1587,MR2N,福岡県,0,,-
5th style,Abyss,0,,-,1200,1,福岡県,1577,CYBELE,福岡県,1878,LOOT,福岡県,0,,-
6th style,こっちを向いてよ,0,,-,828,1,福岡県,1215,G4ZERV,福岡県,1390,SOMORI,福岡県,0,,-
6th style,VJ ARMY,0,,-,1213,1,福岡県,1457,N,福岡県,2231,LOOT,福岡県,0,,-
6th style,Take It Easy,0,,-,1324,NAKA.F,福岡県,2243,AW,福岡県,2505,MR2N,福岡県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1170,1,福岡県,1831,MR2N,福岡県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,859,1,福岡県,1311,CYBELE,福岡県,1989,TIHAYA,福岡県,0,,-
6th style,route 80s,0,,-,823,1,福岡県,1190,CYBELE,福岡県,1524,LOOT,福岡県,0,,-
6th style,rottel-da-sun,0,,-,779,1,福岡県,1260,S-CAT!,福岡県,1863,LOOT,福岡県,0,,-
6th style,NEMESIS,0,,-,958,1,福岡県,1363,#831*,福岡県,1887,LOOT,福岡県,0,,-
6th style,L’amour et la libert?,0,,-,918,.KECAK,福岡県,1541,CYBELE,福岡県,2029,LOOT,福岡県,0,,-
6th style,Linus,0,,-,740,FMO,福岡県,1518,GAMIXX,福岡県,2193,LOOT,福岡県,0,,-
6th style,G2,0,,-,1403,CYBELE,福岡県,1735,CYBELE,福岡県,2310,6RAKA3,福岡県,0,,-
6th style,Frozen Ray (original mix),0,,-,1244,1,福岡県,1570,#831*,福岡県,1799,LOOT,福岡県,0,,-
6th style,Free Style,0,,-,862,1,福岡県,965,SULLY,福岡県,1306,LOOT,福岡県,0,,-
6th style,fly through the night,0,,-,854,1,福岡県,1307,CYBELE,福岡県,1712,LOOT,福岡県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1237,1,福岡県,1817,CYBELE,福岡県,2096,MR2N,福岡県,0,,-
6th style,Colors (radio edit),0,,-,1390,1,福岡県,1843,#773CH,福岡県,2429,LOOT,福岡県,0,,-
6th style,Buffalo,0,,-,984,1,福岡県,1422,CYBELE,福岡県,1820,MR2N,福岡県,2533,LOOT,福岡県
6th style,Blueberry Stream,0,,-,790,1,福岡県,1386,CYBELE,福岡県,1658,LOOT,福岡県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,560,1,福岡県,668,PAX,福岡県,1069,AMI*,福岡県,0,,-
6th style,"19,November",0,,-,1061,1,福岡県,1254,LO-ACU,福岡県,1814,LOOT,福岡県,0,,-
7th style,革命,0,,-,636,YUKKY,福岡県,1867,A.SENA,福岡県,2324,LOOT,福岡県,0,,-
7th style,ZERO-ONE,0,,-,813,44.44,福岡県,1518,O.T!,福岡県,2255,SOMORI,福岡県,2856,LOOT,福岡県
7th style,traces,0,,-,1440,1,福岡県,1715,#831*,福岡県,2139,SOMORI,福岡県,0,,-
7th style,Tomorrow Perfume,0,,-,866,RAY.,福岡県,1622,YUKI,福岡県,2111,MR2N,福岡県,0,,-
7th style,stoic,0,,-,1668,CYBELE,福岡県,2356,MOYA.F,福岡県,2540,MR2N,福岡県,0,,-
7th style,Spica,0,,-,641,RAWEGG,福岡県,1358,NORTH,福岡県,2245,SOMORI,福岡県,0,,-
7th style,Somebody Like You,0,,-,728,1,福岡県,1160,ZATT0N,福岡県,1855,LOOT,福岡県,0,,-
7th style,MAX 300,0,,-,1067,BEEYAN,福岡県,1886,XXXI,福岡県,2785,LOOT,福岡県,0,,-
7th style,Love Me Do,0,,-,769,SOACH,福岡県,1672,CYBELE,福岡県,2113,KURIBO,福岡県,0,,-
7th style,Let the Snow Paint Me,0,,-,673,TAKA23,福岡県,976,KAZAMI,福岡県,1244,IIDX31,福岡県,0,,-
7th style,Last Message,0,,-,920,RANJI,福岡県,1314,CYBELE,福岡県,1621,MR2N,福岡県,0,,-
7th style,Happy Wedding,0,,-,912,YURI,福岡県,1514,N.S.K,福岡県,1855,SOMORI,福岡県,0,,-
7th style,Glorious Days,0,,-,282,KUNI,福岡県,633,FMO,福岡県,910,MR2N,福岡県,0,,-
7th style,foreplay,0,,-,662,1,福岡県,949,KTGN,福岡県,1328,LOOT,福岡県,0,,-
7th style,DESTINY,0,,-,743,TAIYK,福岡県,1272,KAZAMI,福岡県,1848,TIHAYA,福岡県,0,,-
7th style,D2R,0,,-,746,RANJI,福岡県,1107,KED.K,福岡県,1632,MR2N,福岡県,0,,-
7th style,Cheer Train,0,,-,772,AKI,福岡県,1100,1,福岡県,1748,MR2N,福岡県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,691,DIO,福岡県,823,TAITYO,福岡県,1479,MR2N,福岡県,0,,-
7th style,Bad Routine,0,,-,1023,LINDO*,福岡県,1276,PONINN,福岡県,1923,TIHAYA,福岡県,0,,-
7th style,AVE DE RAPINA,0,,-,1180,IRH.,福岡県,1532,MARIMO,福岡県,1849,LOOT,福岡県,0,,-
7th style,A,0,,-,1242,1,福岡県,1939,01245,福岡県,2473,LOOT,福岡県,0,,-
8th style,蒼い衝動,0,,-,920,SHIKIP,福岡県,1350,CYBELE,福岡県,1602,TIHAYA,福岡県,0,,-
8th style,桜,0,,-,963,OSUSHI,福岡県,1412,#831*,福岡県,2161,SOMORI,福岡県,0,,-
8th style,xenon,0,,-,873,JUBEAT,福岡県,1465,MARIMO,福岡県,2751,SOMORI,福岡県,0,,-
8th style,World Wide Love,0,,-,462,KAIA,福岡県,1000,LEXI5.,福岡県,1116,LOOT,福岡県,0,,-
8th style,WAR GAME,0,,-,791,RAY.,福岡県,1482,IIDX32,福岡県,2150,LOOT,福岡県,0,,-
8th style,thunder,0,,-,836,N,福岡県,1564,CYBELE,福岡県,1895,LOOT,福岡県,0,,-
8th style,symbolic,0,,-,1350,1,福岡県,1572,YUKI,福岡県,2238,LOOT,福岡県,0,,-
8th style,rainbow flyer,0,,-,529,CUREL,福岡県,1477,J.C.,福岡県,2127,Y-AX!S,福岡県,0,,-
8th style,PLEASE DON'T GO,0,,-,867,TAITYO,福岡県,1274,ROGA,福岡県,2459,AMI*,福岡県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,689,AKI,福岡県,1259,873AN7,福岡県,1691,MR2N,福岡県,0,,-
8th style,murmur twins,0,,-,1024,OH...,福岡県,1583,ROGA,福岡県,2384,MR2N,福岡県,0,,-
8th style,Monkey Dance,0,,-,524,Y0U,福岡県,1315,CYBELE,福岡県,1983,LOOT,福岡県,0,,-
8th style,memories,0,,-,845,MASAYA,福岡県,1881,N.S.K,福岡県,2280,LOOT,福岡県,0,,-
8th style,Luv 2 Feel Your Body,0,,-,404,RAIKA,福岡県,941,LEXI5.,福岡県,1660,SOMORI,福岡県,0,,-
8th style,LOVE IS ORANGE,0,,-,659,AKI,福岡県,959,LEXI5.,福岡県,1799,MR2N,福岡県,2102,LOOT,福岡県
8th style,LAB,0,,-,1020,G4ZERV,福岡県,1865,ROGA,福岡県,2122,6RAKA3,福岡県,0,,-
8th style,HYPER BOUNDARY GATE,0,,-,1071,RANJI,福岡県,1900,CYBELE,福岡県,2215,LOOT,福岡県,0,,-
8th style,Halfway of promise,0,,-,731,BLEN-T,福岡県,1410,HOMURA,福岡県,1844,LOOT,福岡県,0,,-
8th style,Giudecca,0,,-,803,JUBEAT,福岡県,1718,S-CAT!,福岡県,2722,SOMORI,福岡県,0,,-
8th style,dual control,0,,-,464,DJPLMI,福岡県,1369,CYBELE,福岡県,1871,MR2N,福岡県,0,,-
8th style,Colors -Y&Co. Eurobeat Remix-,0,,-,1008,TAITYO,福岡県,1779,TOFU,福岡県,2187,TIHAYA,福岡県,0,,-
8th style,CELEBRATE NITE,0,,-,810,KTY,福岡県,942,KTY,福岡県,1419,MR2N,福岡県,0,,-
8th style,Blame,0,,-,984,IRH.,福岡県,1511,CYBELE,福岡県,1947,SOMORI,福岡県,0,,-
8th style,bit mania,0,,-,853,1,福岡県,1243,RAWEGG,福岡県,1863,LOOT,福岡県,0,,-
8th style,Attitude,0,,-,653,CUREL,福岡県,1340,TAKE.M,福岡県,1744,TIHAYA,福岡県,0,,-
8th style,ALL RIGHT,0,,-,841,1,福岡県,1233,MARIMO,福岡県,1620,LOOT,福岡県,0,,-
8th style,airflow,0,,-,410,AKI,福岡県,739,NORTH,福岡県,1429,LOOT,福岡県,0,,-
8th style,abstract,0,,-,1179,1,福岡県,1407,MANMA,福岡県,1913,LOOT,福岡県,0,,-
9th style,真夏の花・真夏の夢,0,,-,721,YURI,福岡県,1086,ROGA,福岡県,1489,LOOT,福岡県,0,,-
9th style,ライオン好き,0,,-,559,RAY.,福岡県,1161,LEPISO,福岡県,1505,MR2N,福岡県,0,,-
9th style,SWEETEST SAVAGE,0,,-,564,AKI,福岡県,1333,CYBELE,福岡県,1846,LOOT,福岡県,0,,-
9th style,Sweet Sweet Magic,0,,-,697,TAIYK,福岡県,1428,TAKE.M,福岡県,2052,SOMORI,福岡県,0,,-
9th style,STAR FIELD,0,,-,432,YUIKO,福岡県,1512,G4ZERV,福岡県,1883,TIHAYA,福岡県,0,,-
9th style,SNOW,0,,-,689,NOZE.,福岡県,1248,SGKINO,福岡県,2039,LOOT,福岡県,0,,-
9th style,Silvia Drive,0,,-,820,NORTH,福岡県,1336,LEXI5.,福岡県,2070,LOOT,福岡県,0,,-
9th style,rottel-the-Mercury,0,,-,908,TOFU,福岡県,1897,CHOCOA,福岡県,2270,TIHAYA,福岡県,0,,-
9th style,RISLIM -Remix-,0,,-,550,KNJG,福岡県,902,1,福岡県,1872,MR2N,福岡県,0,,-
9th style,Really Love,0,,-,606,GR,福岡県,942,SEAL*3,福岡県,1762,MR2N,福岡県,0,,-
9th style,Quickening,0,,-,594,CUREL,福岡県,1513,LEXI5.,福岡県,2095,LOOT,福岡県,0,,-
9th style,quasar,0,,-,1046,HOKKE,福岡県,1762,FE-0,福岡県,2310,LOOT,福岡県,0,,-
9th style,PARANOIA survivor MAX,0,,-,951,BEEYAN,福岡県,1225,CYBELE,福岡県,2128,LOOT,福岡県,0,,-
9th style,one or eight,0,,-,1029,RANJI,福岡県,1771,V!OLET,福岡県,2324,SOMORI,福岡県,0,,-
9th style,moon_child,0,,-,953,EN*E*S,福岡県,1848,GAMIXX,福岡県,2542,LOOT,福岡県,0,,-
9th style,MARIA (I believe... ),0,,-,0,,-,1435,S-CAT!,福岡県,1959,LOOT,福岡県,0,,-
9th style,Make A Difference,0,,-,651,RAY.,福岡県,1439,#831*,福岡県,2242,LOOT,福岡県,0,,-
9th style,lower world,0,,-,1173,96SAWA,福岡県,1668,MARIMO,福岡県,2257,LOOT,福岡県,0,,-
9th style,LOVE SHINE,401,KAIA,福岡県,770,HOKKE,福岡県,1766,6,福岡県,2088,LOOT,福岡県,0,,-
9th style,Logic Board,0,,-,995,.KECAK,福岡県,1715,CYBELE,福岡県,2341,LOOT,福岡県,0,,-
9th style,lights,0,,-,703,CHOCOA,福岡県,1327,873AN7,福岡県,1801,MR2N,福岡県,0,,-
9th style,Karma,0,,-,1289,1,福岡県,1667,TIHAYA,福岡県,1822,LOOT,福岡県,0,,-
9th style,I Was The One (80's EUROBEAT STYLE),0,,-,764,NORTH,福岡県,1252,AO,福岡県,1446,MR2N,福岡県,0,,-
9th style,HYPER EUROBEAT (2DX style),0,,-,942,RANJI,福岡県,1407,MOTTY,福岡県,1953,KURIBO,福岡県,0,,-
9th style,Golden Horn,0,,-,331,KONOHA,福岡県,1022,LEXI5.,福岡県,1520,LOOT,福岡県,0,,-
9th style,fun,0,,-,508,TAITYO,福岡県,958,873AN7,福岡県,1882,KENTAN,福岡県,0,,-
9th style,e-motion 2003  -romantic extra-,0,,-,1171,TOFU,福岡県,1584,CYBELE,福岡県,1990,LOOT,福岡県,0,,-
9th style,Distress,0,,-,1090,JUBEAT,福岡県,1845,MR2N,福岡県,0,,-,0,,-
9th style,Cradle,0,,-,296,MIKOTO,福岡県,1388,MARIMO,福岡県,1600,KURIBO,福岡県,0,,-
9th style,BRIGHTNESS DARKNESS,0,,-,504,YUIKO,福岡県,1346,RYO,福岡県,1768,LOOT,福岡県,0,,-
9th style,bag,0,,-,877,1,福岡県,1153,ROGA,福岡県,1913,TIHAYA,福岡県,0,,-
9th style,BAD BOY BASS!! (dj Remo-con MIX),0,,-,857,SHINRO,福岡県,1351,CYBELE,福岡県,1805,LOOT,福岡県,0,,-
9th style,ATOMIC AGE,0,,-,353,CVLTE,福岡県,663,TIHAYA,福岡県,1326,LOOT,福岡県,0,,-
9th style,ADVANCE,0,,-,457,SONIC,福岡県,848,GAMIXX,福岡県,1600,LOOT,福岡県,0,,-
9th style,ACT,0,,-,953,IRH.,福岡県,1560,CVLTE,福岡県,1858,SOMORI,福岡県,0,,-
9th style,Abyss -The Heavens Remix-,549,RAWEGG,福岡県,1472,CYBELE,福岡県,1803,GAMIXX,福岡県,2371,LOOT,福岡県,0,,-
10th style,雪月花,0,,-,1011,PIXEL,福岡県,1750,ICHIKA,福岡県,2550,SOMORI,福岡県,0,,-
10th style,システムロマンス,0,,-,834,N.S.K,福岡県,1706,YAPPO3,福岡県,2038,KURIBO,福岡県,0,,-
10th style,SPACE FIGHT,0,,-,594,NICKEL,福岡県,1471,CYBELE,福岡県,2246,MR2N,福岡県,0,,-
10th style,SHOOTING STAR,0,,-,1232,YAPPO3,福岡県,1627,CYBELE,福岡県,2271,TIHAYA,福岡県,0,,-
10th style,SCORE,0,,-,1125,PENCIL,福岡県,1511,CYBELE,福岡県,2090,MR2N,福岡県,0,,-
10th style,Rise'n Beauty,0,,-,1077,RANJI,福岡県,1353,HOMURA,福岡県,2169,MR2N,福岡県,0,,-
10th style,rainbow rainbow,0,,-,1544,CYBELE,福岡県,2107,RAWEGG,福岡県,2734,SOMORI,福岡県,0,,-
10th style,pandora,0,,-,854,1,福岡県,1560,OCHIAI,福岡県,1849,LOOT,福岡県,0,,-
10th style,One More Lovely,0,,-,850,G4ZERV,福岡県,1466,LAKS,福岡県,2814,RUIN,福岡県,0,,-
10th style,No.13,0,,-,1477,TAKA,福岡県,2396,FINE,福岡県,3176,LOOT,福岡県,0,,-
10th style,Narcissus At Oasis,0,,-,692,SULLY,福岡県,1479,EYES,福岡県,1670,SOMORI,福岡県,0,,-
10th style,Lucy,0,,-,949,NORTH,福岡県,1651,LEPISO,福岡県,2323,SOMORI,福岡県,0,,-
10th style,Love Is Eternity,0,,-,1070,178,福岡県,1714,LAPRAS,福岡県,2398,LOOT,福岡県,0,,-
10th style,Innocent Walls,0,,-,1538,MEL0H1,福岡県,2494,6RAKA3,福岡県,2845,SOMORI,福岡県,0,,-
10th style,HIGH,0,,-,885,RANJI,福岡県,1872,#831*,福岡県,2168,TIHAYA,福岡県,2861,LOOT,福岡県
10th style,GRADIUS -FULL SPEED-,0,,-,690,1,福岡県,1182,NEU,福岡県,2110,KENTAN,福岡県,0,,-
10th style,GHOST REVIVAL,0,,-,640,SAGUZI,福岡県,1850,CHOCOA,福岡県,2545,LOOT,福岡県,0,,-
10th style,Freezing atmosphere,0,,-,618,BUTABM,福岡県,1109,SHIKIP,福岡県,1505,MR2N,福岡県,0,,-
10th style,FEEL IT,0,,-,687,RAY.,福岡県,1678,TNGCH*,福岡県,1990,6RAKA3,福岡県,0,,-
10th style,Feedback,0,,-,1020,NORTH,福岡県,1561,CYBELE,福岡県,1951,LOOT,福岡県,0,,-
10th style,EXE,0,,-,548,RICKY0,福岡県,1441,MOTTY,福岡県,2258,SOMORI,福岡県,0,,-
10th style,DoLL,337,JPFUO,福岡県,905,TOFU,福岡県,1173,KAZAMI,福岡県,1620,KURIBO,福岡県,0,,-
10th style,desolation,0,,-,473,1,福岡県,604,LEXI5.,福岡県,766,MR2N,福岡県,0,,-
10th style,Debtty Daddy,0,,-,1036,SUZAKU,福岡県,1941,CHOCOA,福岡県,2713,SOMORI,福岡県,0,,-
10th style,Daisuke,462,1,福岡県,1176,1,福岡県,1644,BEEYAN,福岡県,2397,LOOT,福岡県,0,,-
10th style,CARRY ON NIGHT (English version),0,,-,833,TAKA23,福岡県,1354,CYBELE,福岡県,2053,LOOT,福岡県,0,,-
10th style,Boundary,0,,-,643,TETO*,福岡県,1651,YUDAYA,福岡県,2050,LOOT,福岡県,0,,-
10th style,Back Into The Light,0,,-,926,IRH.,福岡県,1526,YAPPO3,福岡県,2160,PLAZA3,福岡県,0,,-
10th style,BABY LOVE,0,,-,1107,IRH.,福岡県,1647,CYBELE,福岡県,2154,LOOT,福岡県,0,,-
10th style,ASTRAL VOYAGE,0,,-,594,YUIKO,福岡県,1243,LEXI5.,福岡県,1916,MR2N,福岡県,0,,-
10th style,ALIEN TEMPLE,0,,-,892,IRH.,福岡県,1612,CYBELE,福岡県,2031,MR2N,福岡県,0,,-
10th style,1st Samurai,0,,-,1044,ROGA,福岡県,1808,#831*,福岡県,2697,KENTAN,福岡県,0,,-
IIDX RED,ＵＬＴｉＭΛＴＥ,0,,-,665,CUREL,福岡県,1454,CYBELE,福岡県,2002,MR2N,福岡県,0,,-
IIDX RED,太陽～T・A・I・Y・O～,0,,-,807,1,福岡県,1313,CANADE,福岡県,1748,MASSY.,福岡県,0,,-
IIDX RED,大桟橋,0,,-,420,1,福岡県,991,SUSUME,福岡県,1867,TIHAYA,福岡県,0,,-
IIDX RED,ピアノ協奏曲第１番”蠍火”,0,,-,778,1,福岡県,2106,AMI*,福岡県,2753,SOMORI,福岡県,0,,-
IIDX RED,Wonder Bullfighter,0,,-,583,ISANA,福岡県,1369,IIDX32,福岡県,2069,LOOT,福岡県,0,,-
IIDX RED,The Hope of Tomorrow,0,,-,1041,G4ZERV,福岡県,1667,CYBELE,福岡県,1957,LOOT,福岡県,0,,-
IIDX RED,spiral galaxy,0,,-,1055,1,福岡県,1851,LEXI5.,福岡県,2588,6RAKA3,福岡県,3783,SOMORI,福岡県
IIDX RED,Sphere,0,,-,959,RANJI,福岡県,1785,1,福岡県,2206,TIHAYA,福岡県,0,,-
IIDX RED,SPEEDY CAT,0,,-,985,RANJI,福岡県,1665,CYBELE,福岡県,2041,LOOT,福岡県,0,,-
IIDX RED,Secret of Love,0,,-,0,,-,1303,YUDAYA,福岡県,2024,SOMORI,福岡県,0,,-
IIDX RED,RESONATE 1794,0,,-,751,GOSMAS,福岡県,1371,RAWEGG,福岡県,1881,MR2N,福岡県,0,,-
IIDX RED,RED ZONE,166,JPFUO,福岡県,1032,TOFU,福岡県,1740,G4ZERV,福岡県,2333,TIHAYA,福岡県,3081,LOOT,福岡県
IIDX RED,Raspberry Heart(English version),0,,-,978,ROGA,福岡県,1527,IIDX32,福岡県,1858,TIHAYA,福岡県,0,,-
IIDX RED,NEBULA GRASPER,0,,-,1347,G4ZERV,福岡県,1747,#831*,福岡県,2471,LOOT,福岡県,0,,-
